index,time_s,code,raw_sum_q
0,1.298510000000e-06,1010,72192
1,1.398510000000e-06,2661,177856
2,1.498510000000e-06,1895,128832
3,1.598500000000e-06,1730,118272
4,1.698510000000e-06,2816,187776
5,1.798510000000e-06,875,63552
6,1.898510000000e-06,3555,235072
7,1.998500000000e-06,295,26432
8,2.098500000000e-06,3939,259648
9,2.198510000000e-06,130,15872
10,2.298510000000e-06,3876,255616
11,2.398510000000e-06,418,34304
12,2.498510000000e-06,3381,223936
13,2.598510000000e-06,1090,77312
14,2.698510000000e-06,2571,172096
15,2.798500000000e-06,1989,134848
16,2.898500000000e-06,1638,112384
17,2.998500000000e-06,2902,193280
18,3.098500000000e-06,801,58816
19,3.198510000000e-06,3612,238720
20,3.298510000000e-06,259,24128
21,3.398510000000e-06,3954,260608
22,3.498500000000e-06,138,16384
23,3.598500000000e-06,3845,253632
24,3.698500000000e-06,470,37632
25,3.798500000000e-06,3311,219456
26,3.898500000000e-06,1173,82624
27,3.998510000000e-06,2479,166208
28,4.098510000000e-06,2083,140864
29,4.198510000000e-06,1546,106496
30,4.298500000000e-06,2985,198592
31,4.398500000000e-06,731,54336
32,4.498500000000e-06,3665,242112
33,4.598500000000e-06,226,22016
34,4.698500000000e-06,3963,261184
35,4.798510000000e-06,152,17280
36,4.898510000000e-06,3809,251328
37,4.998510000000e-06,525,41152
38,5.098500000000e-06,3238,214784
39,5.198500000000e-06,1258,88064
40,5.298500000000e-06,2387,160320
41,5.398500000000e-06,2177,146880
42,5.498500000000e-06,1455,100672
43,5.598500000000e-06,3066,203776
44,5.698510000000e-06,664,50048
45,5.798500000000e-06,3714,245248
46,5.898500000000e-06,198,20224
47,5.998500000000e-06,3969,261568
48,6.098500000000e-06,170,18432
49,6.198500000000e-06,3769,248768
50,6.298500000000e-06,585,44992
51,6.398500000000e-06,3163,209984
52,6.498500000000e-06,1345,93632
53,6.598500000000e-06,2294,154368
54,6.698500000000e-06,2271,152896
55,6.798500000000e-06,1366,94976
56,6.898500000000e-06,3144,208768
57,6.998500000000e-06,600,45952
58,7.098500000000e-06,3759,248128
59,7.198500000000e-06,175,18752
60,7.298510000000e-06,3969,261568
61,7.398500000000e-06,192,19840
62,7.498500000000e-06,3725,245952
63,7.598500000000e-06,648,49024
64,7.698500000000e-06,3085,204992
65,7.798510000000e-06,1434,99328
66,7.898500000000e-06,2200,148352
67,7.998510000000e-06,2365,158912
68,8.098500000000e-06,1279,89408
69,8.198500000000e-06,3220,213632
70,8.298510000000e-06,540,42112
71,8.398500000000e-06,3800,250752
72,8.498510000000e-06,156,17536
73,8.598500000000e-06,3965,261312
74,8.698510000000e-06,219,21568
75,8.798500000000e-06,3677,242880
76,8.898500000000e-06,714,53248
77,8.998500000000e-06,3005,199872
78,9.098500000000e-06,1524,105088
79,9.198500000000e-06,2106,142336
80,9.298500000000e-06,2457,164800
81,9.398510000000e-06,1193,83904
82,9.498500000000e-06,3294,218368
83,9.598510000000e-06,483,38464
84,9.698500000000e-06,3836,253056
85,9.798500000000e-06,141,16576
86,9.898500000000e-06,3957,260800
87,9.998500000000e-06,250,23552
88,1.009850000000e-05,3625,239552
89,1.019850000000e-05,784,57728
90,1.029850000000e-05,2922,194560
91,1.039850000000e-05,1615,110912
92,1.049850000000e-05,2012,136320
93,1.059850000000e-05,2549,170688
94,1.069850000000e-05,1110,78592
95,1.079850000000e-05,3364,222848
96,1.089850000000e-05,430,35072
97,1.099850000000e-05,3869,255168
98,1.109850000000e-05,132,16000
99,1.119850000000e-05,3943,259904
100,1.129850000000e-05,286,25856
101,1.139850000000e-05,3570,236032
102,1.149850000000e-05,857,62400
103,1.159850000000e-05,2837,189120
104,1.169850000000e-05,1708,116864
105,1.179850000000e-05,1918,130304
106,1.189850000000e-05,2639,176448
107,1.199850000000e-05,1029,73408
108,1.209850000000e-05,3431,227136
109,1.219850000000e-05,381,31936
110,1.229850000000e-05,3897,256960
111,1.239850000000e-05,126,15616
112,1.249850000000e-05,3925,258752
113,1.259850000000e-05,326,28416
114,1.269850000000e-05,3510,232192
115,1.279850000000e-05,932,67200
116,1.289850000000e-05,2750,183552
117,1.299850000000e-05,1801,122816
118,1.309850000000e-05,1824,124288
119,1.319850000000e-05,2728,182144
120,1.329850000000e-05,951,68416
121,1.339850000000e-05,3495,231232
122,1.349850000000e-05,336,29056
123,1.359850000000e-05,3920,258432
124,1.369850000000e-05,126,15616
125,1.379850000000e-05,3903,257344
126,1.389850000000e-05,370,31232
127,1.399850000000e-05,3447,228160
