
time (s)       v("CAL" ?resultsDir "/home/meow/jxy/codex_sandbox/sar0716_calibration_20260717/full_adc_bypass/psf" ?result "tran") (V)

 1.22985e-05    0.00000e+00   
 1.23985e-05    0.00000e+00   
 1.24985e-05    0.00000e+00   
 1.25985e-05    0.00000e+00   
 1.26985e-05    0.00000e+00   
 1.27985e-05    0.00000e+00   
 1.28985e-05    0.00000e+00   
 1.29985e-05    0.00000e+00   
 1.30985e-05    0.00000e+00   
 1.31985e-05    0.00000e+00   
 1.32985e-05    0.00000e+00   
 1.33985e-05    0.00000e+00   
 1.34985e-05    0.00000e+00   
 1.35985e-05    0.00000e+00   
 1.36985e-05    0.00000e+00   
 1.37985e-05    0.00000e+00   
 1.38985e-05    0.00000e+00   
 1.39985e-05    0.00000e+00   
 1.40985e-05    0.00000e+00   
 1.41985e-05    0.00000e+00   
 1.42985e-05    0.00000e+00   
 1.43985e-05    0.00000e+00   
 1.44985e-05    0.00000e+00   
 1.45985e-05    0.00000e+00   
 1.46985e-05    0.00000e+00   
 1.47985e-05    0.00000e+00   
 1.48985e-05    0.00000e+00   
 1.49985e-05    0.00000e+00   
 1.50985e-05    0.00000e+00   
 1.51985e-05    0.00000e+00   
 1.52985e-05    0.00000e+00   
 1.53985e-05    0.00000e+00   
 1.54985e-05    0.00000e+00   
 1.55985e-05    0.00000e+00   
 1.56985e-05    0.00000e+00   
 1.57985e-05    0.00000e+00   
 1.58985e-05    0.00000e+00   
 1.59985e-05    0.00000e+00   
 1.60985e-05    0.00000e+00   
 1.61985e-05    0.00000e+00   
 1.62985e-05    0.00000e+00   
 1.63985e-05    0.00000e+00   
 1.64985e-05    0.00000e+00   
 1.65985e-05    0.00000e+00   
 1.66985e-05    0.00000e+00   
 1.67985e-05    0.00000e+00   
 1.68985e-05    0.00000e+00   
 1.69985e-05    0.00000e+00   
 1.70985e-05    0.00000e+00   
 1.71985e-05    0.00000e+00   
 1.72985e-05    0.00000e+00   
 1.73985e-05    0.00000e+00   
 1.74985e-05    0.00000e+00   
 1.75985e-05    0.00000e+00   
 1.76985e-05    0.00000e+00   
 1.77985e-05    0.00000e+00   
 1.78985e-05    0.00000e+00   
 1.79985e-05    0.00000e+00   
 1.80985e-05    0.00000e+00   
 1.81985e-05    0.00000e+00   
 1.82985e-05    0.00000e+00   
 1.83985e-05    0.00000e+00   
 1.84985e-05    0.00000e+00   
 1.85985e-05    0.00000e+00   
 1.86985e-05    0.00000e+00   
 1.87985e-05    0.00000e+00   
 1.88985e-05    0.00000e+00   
 1.89985e-05    0.00000e+00   
 1.90985e-05    0.00000e+00   
 1.91985e-05    0.00000e+00   
 1.92985e-05    0.00000e+00   
 1.93985e-05    0.00000e+00   
 1.94985e-05    0.00000e+00   
 1.95985e-05    0.00000e+00   
 1.96985e-05    0.00000e+00   
 1.97985e-05    0.00000e+00   
 1.98985e-05    0.00000e+00   
 1.99985e-05    0.00000e+00   
 2.00985e-05    0.00000e+00   
 2.01985e-05    0.00000e+00   
 2.02985e-05    0.00000e+00   
 2.03985e-05    0.00000e+00   
 2.04985e-05    0.00000e+00   
 2.05985e-05    0.00000e+00   
 2.06985e-05    0.00000e+00   
 2.07985e-05    0.00000e+00   
 2.08985e-05    0.00000e+00   
 2.09985e-05    0.00000e+00   
 2.10985e-05    0.00000e+00   
 2.11985e-05    0.00000e+00   
 2.12985e-05    0.00000e+00   
 2.13985e-05    0.00000e+00   
 2.14985e-05    0.00000e+00   
 2.15985e-05    0.00000e+00   
 2.16985e-05    0.00000e+00   
 2.17985e-05    0.00000e+00   
 2.18985e-05    0.00000e+00   
 2.19985e-05    0.00000e+00   
 2.20985e-05    0.00000e+00   
 2.21985e-05    0.00000e+00   
 2.22985e-05    0.00000e+00   
 2.23985e-05    0.00000e+00   
 2.24985e-05    0.00000e+00   
 2.25985e-05    0.00000e+00   
 2.26985e-05    0.00000e+00   
 2.27985e-05    0.00000e+00   
 2.28985e-05    0.00000e+00   
 2.29985e-05    0.00000e+00   
 2.30985e-05    0.00000e+00   
 2.31985e-05    0.00000e+00   
 2.32985e-05    0.00000e+00   
 2.33985e-05    0.00000e+00   
 2.34985e-05    0.00000e+00   
 2.35985e-05    0.00000e+00   
 2.36985e-05    0.00000e+00   
 2.37985e-05    0.00000e+00   
 2.38985e-05    0.00000e+00   
 2.39985e-05    0.00000e+00   
 2.40985e-05    0.00000e+00   
 2.41985e-05    0.00000e+00   
 2.42985e-05    0.00000e+00   
 2.43985e-05    0.00000e+00   
 2.44985e-05    0.00000e+00   
 2.45985e-05    0.00000e+00   
 2.46985e-05    0.00000e+00   
 2.47985e-05    0.00000e+00   
 2.48985e-05    0.00000e+00   
 2.49985e-05    0.00000e+00   
