bin,frequency_hz,magnitude_dbc
0,0.000000000000e+00,-6153.053111372
1,7.812500000000e+04,-86.266664889
2,1.562500000000e+05,-98.076728162
3,2.343750000000e+05,-100.421181163
4,3.125000000000e+05,-110.035720988
5,3.906250000000e+05,-94.878868725
6,4.687500000000e+05,-102.372704062
7,5.468750000000e+05,-88.746274223
8,6.250000000000e+05,-96.528128581
9,7.031250000000e+05,-89.858936535
10,7.812500000000e+05,-96.222738284
11,8.593750000000e+05,-98.884981145
12,9.375000000000e+05,-100.945656128
13,1.015625000000e+06,-87.946066898
14,1.093750000000e+06,-116.014394945
15,1.171875000000e+06,-88.122258664
16,1.250000000000e+06,-98.850735456
17,1.328125000000e+06,-88.501060724
18,1.406250000000e+06,-95.882361456
19,1.484375000000e+06,-102.311915000
20,1.562500000000e+06,-97.443507866
21,1.640625000000e+06,-89.412061433
22,1.718750000000e+06,-106.583953258
23,1.796875000000e+06,-87.179524311
24,1.875000000000e+06,-104.183642288
25,1.953125000000e+06,-93.630757507
26,2.031250000000e+06,-96.931839216
27,2.109375000000e+06,-89.799101723
28,2.187500000000e+06,-96.008956713
29,2.265625000000e+06,-91.466270699
30,2.343750000000e+06,-99.793263964
31,2.421875000000e+06,-91.010768340
32,2.500000000000e+06,-6153.053111372
33,2.578125000000e+06,-87.395666558
34,2.656250000000e+06,-99.793263964
35,2.734375000000e+06,-93.026721395
36,2.812500000000e+06,-96.008956713
37,2.890625000000e+06,-89.944861103
38,2.968750000000e+06,-96.931839216
39,3.046875000000e+06,-89.638872157
40,3.125000000000e+06,-104.183642288
41,3.203125000000e+06,-84.849846299
42,3.281250000000e+06,-106.583953258
43,3.359375000000e+06,-88.457283944
44,3.437500000000e+06,-97.443507866
45,3.515625000000e+06,-90.237329611
46,3.593750000000e+06,-95.882361456
47,3.671875000000e+06,-85.327497436
48,3.750000000000e+06,-98.850735456
49,3.828125000000e+06,-87.805691020
50,3.906250000000e+06,-116.014394945
51,3.984375000000e+06,-84.974244667
52,4.062500000000e+06,-100.945656128
53,4.140625000000e+06,-88.150660953
54,4.218750000000e+06,-96.222738284
55,4.296875000000e+06,-91.842471571
56,4.375000000000e+06,-96.528128581
57,4.453125000000e+06,-95.479816733
58,4.531250000000e+06,-102.372704062
59,4.609375000000e+06,0.000000000
60,4.687500000000e+06,-110.035720988
61,4.765625000000e+06,-91.966272112
62,4.843750000000e+06,-98.076728162
63,4.921875000000e+06,-89.482183115
64,5.000000000000e+06,-95.840435500
