index,time_s,code,raw_sum_q
0,1.298510000000e-06,1006,72422
1,1.398510000000e-06,2663,178518
2,1.498510000000e-06,1894,129252
3,1.598500000000e-06,1729,118708
4,1.698510000000e-06,2819,188486
5,1.798510000000e-06,870,63718
6,1.898510000000e-06,3561,235972
7,1.998500000000e-06,289,26534
8,2.098500000000e-06,3946,260612
9,2.198510000000e-06,123,15926
10,2.298510000000e-06,3883,256580
11,2.398510000000e-06,412,34406
12,2.498510000000e-06,3386,224772
13,2.598510000000e-06,1087,77620
14,2.698510000000e-06,2572,172694
15,2.798500000000e-06,1989,135332
16,2.898500000000e-06,1636,112756
17,2.998500000000e-06,2904,193926
18,3.098500000000e-06,796,58982
19,3.198510000000e-06,3618,239636
20,3.298510000000e-06,252,24182
21,3.398510000000e-06,3961,261572
22,3.498500000000e-06,132,16502
23,3.598500000000e-06,3851,254532
24,3.698500000000e-06,464,37734
25,3.798500000000e-06,3316,220308
26,3.898500000000e-06,1170,82932
27,3.998510000000e-06,2481,166854
28,4.098510000000e-06,2083,141398
29,4.198510000000e-06,1544,106868
30,4.298500000000e-06,2988,199302
31,4.398500000000e-06,726,54518
32,4.498500000000e-06,3671,243028
33,4.598500000000e-06,220,22134
34,4.698500000000e-06,3970,262148
35,4.798510000000e-06,145,17334
36,4.898510000000e-06,3815,252244
37,4.998510000000e-06,519,41270
38,5.098500000000e-06,3243,215636
39,5.198500000000e-06,1256,88436
40,5.298500000000e-06,2389,160966
41,5.398500000000e-06,2178,147478
42,5.498500000000e-06,1454,101092
43,5.598500000000e-06,3070,204550
44,5.698510000000e-06,658,50166
45,5.798500000000e-06,3720,246164
46,5.898500000000e-06,192,20342
47,5.998500000000e-06,3976,262532
48,6.098500000000e-06,163,18486
49,6.198500000000e-06,3775,249684
50,6.298500000000e-06,579,45110
51,6.398500000000e-06,3167,210772
52,6.498500000000e-06,1343,93988
53,6.598500000000e-06,2295,154966
54,6.698500000000e-06,2272,153494
55,6.798500000000e-06,1364,95332
56,6.898500000000e-06,3149,209620
57,6.998500000000e-06,594,46070
58,7.098500000000e-06,3765,249044
59,7.198500000000e-06,168,18806
60,7.298510000000e-06,3976,262532
61,7.398500000000e-06,185,19894
62,7.498500000000e-06,3731,246868
63,7.598500000000e-06,642,49142
64,7.698500000000e-06,3089,205780
65,7.798510000000e-06,1432,99684
66,7.898500000000e-06,2201,148950
67,7.998510000000e-06,2366,159494
68,8.098500000000e-06,1276,89716
69,8.198500000000e-06,3225,214484
70,8.298510000000e-06,534,42230
71,8.398500000000e-06,3806,251668
72,8.498510000000e-06,149,17590
73,8.598500000000e-06,3972,262276
74,8.698510000000e-06,212,21622
75,8.798500000000e-06,3683,243796
76,8.898500000000e-06,709,53430
77,8.998500000000e-06,3008,200582
78,9.098500000000e-06,1523,105508
79,9.198500000000e-06,2106,142870
80,9.298500000000e-06,2459,165446
81,9.398510000000e-06,1191,84276
82,9.498500000000e-06,3299,219220
83,9.598510000000e-06,477,38566
84,9.698500000000e-06,3843,254020
85,9.798500000000e-06,134,16630
86,9.898500000000e-06,3963,261700
87,9.998500000000e-06,244,23670
88,1.009850000000e-05,3631,240468
89,1.019850000000e-05,779,57894
90,1.029850000000e-05,2925,195270
91,1.039850000000e-05,1614,111348
92,1.049850000000e-05,2012,136804
93,1.059850000000e-05,2551,171334
94,1.069850000000e-05,1107,78900
95,1.079850000000e-05,3369,223684
96,1.089850000000e-05,424,35174
97,1.099850000000e-05,3875,256068
98,1.109850000000e-05,125,16054
99,1.119850000000e-05,3950,260868
100,1.129850000000e-05,280,25958
101,1.139850000000e-05,3576,236932
102,1.149850000000e-05,852,62566
103,1.159850000000e-05,2839,189766
104,1.169850000000e-05,1706,117236
105,1.179850000000e-05,1917,130724
106,1.189850000000e-05,2641,177110
107,1.199850000000e-05,1025,73652
108,1.209850000000e-05,3437,228036
109,1.219850000000e-05,375,32038
110,1.229850000000e-05,3903,257860
111,1.239850000000e-05,119,15670
112,1.249850000000e-05,3932,259716
113,1.259850000000e-05,320,28518
114,1.269850000000e-05,3516,233092
115,1.279850000000e-05,928,67430
116,1.289850000000e-05,2752,184214
117,1.299850000000e-05,1800,123236
118,1.309850000000e-05,1823,124708
119,1.319850000000e-05,2731,182870
120,1.329850000000e-05,946,68582
121,1.339850000000e-05,3501,232132
122,1.349850000000e-05,330,29158
123,1.359850000000e-05,3927,259396
124,1.369850000000e-05,119,15670
125,1.379850000000e-05,3910,258308
126,1.389850000000e-05,364,31334
127,1.399850000000e-05,3453,229060
