case,designPointNumber,td,AZ_time_ns_equiv,corner_count,ENOB_min,ENOB_avg,ENOB_max,ENOB_worst_corner,ENOB_best_corner,SNR_min,SNR_avg,SNR_max,SNR_worst_corner,SNR_best_corner,SFDR_min,SFDR_avg,SFDR_max,SFDR_worst_corner,SFDR_best_corner,SWITCHESPOWER_uW_avg,COMPOWER_uW_avg,LOGICPOWER_uW_avg,SYNCPOWER_uW_avg,SRPOWER_uW_avg,Power_uW_min,Power_uW_avg,Power_uW_max,Power_uW_max_corner
2026-06-09_full_noise_nominal,1,24.05n,0.0500,5,11.2469,11.3548,11.4730,fs,ss,69.6147,70.3257,70.8711,fs,ss,80.1116,81.4859,82.7412,sf,ss,80.1228,167.3754,41.8079,14.7330,12.5324,317.8387,361.3129,413.0391,ff
2026-06-09_full_noise_nominal,2,28n,4.0000,5,11.3878,11.4870,11.5830,ss,tt,70.4047,71.2896,71.6000,ss,ff,80.3479,81.5728,83.6625,ff,tt,80.0997,180.8003,41.8074,14.7333,12.5053,328.2727,374.4972,428.8798,ff
