case,td,AZ_time_ns_equiv,corner,pointID,statusCode,statusMessage,ENOB_bits,SNR_dB,SFDR_dB,SWITCHESPOWER_uW,COMPOWER_uW,LOGICPOWER_uW,SYNCPOWER_uW,SRPOWER_uW,SRPOWER_error,Power_uW
2026-06-09_NOISEFACTOR10_电压失调KT_C消除方案,28n,4.00,tt,5,3,done,10.660390,66.132116,76.542433,79.3528,228.6959,41.0213,25.0647,,yes,431.2744
2026-06-09_NOISEFACTOR10_电压失调KT_C消除方案,28n,4.00,ff,1,3,done,11.033313,68.170408,80.580836,85.8601,232.9157,43.7206,26.0043,,yes,448.2228
2026-06-09_NOISEFACTOR10_电压失调KT_C消除方案,28n,4.00,ss,4,3,done,10.349671,64.030358,76.668585,74.9101,246.2431,39.2369,24.3266,,yes,439.6951
2026-06-09_NOISEFACTOR10_电压失调KT_C消除方案,28n,4.00,sf,3,3,done,10.617997,65.764579,77.500107,78.8166,244.1864,41.6937,25.0581,,yes,446.3972
2026-06-09_NOISEFACTOR10_电压失调KT_C消除方案,28n,4.00,fs,2,3,done,10.742362,66.773945,78.278307,80.9829,229.3901,40.8249,25.1534,,yes,433.5331
