corner,td,ENOB_FIA,ENOB_current_no_FIA,ENOB_delta_current_no_FIA_minus_FIA,SNR_FIA,SNR_current_no_FIA,SNR_delta_current_no_FIA_minus_FIA,SFDR_FIA,SFDR_current_no_FIA,SFDR_delta_current_no_FIA_minus_FIA,Power_FIA_uW,Power_current_no_FIA_uW,Power_delta_current_no_FIA_minus_FIA_uW
tt,28n,10.687700,10.181978,-0.505722,65.941300,63.328532,-2.612768,77.464300,74.144247,-3.320053,303.080300,342.964021,39.883721
ff,28n,10.230500,10.309454,0.078954,63.514900,64.113611,0.598711,75.107400,77.195207,2.087807,356.952400,369.975476,13.023076
ss,28n,10.242100,10.154093,-0.088007,63.226800,63.353738,0.126938,74.457400,76.406200,1.948800,265.635300,341.505282,75.869982
sf,28n,10.341100,10.298682,-0.042418,63.956900,64.110533,0.153633,76.480400,75.013267,-1.467133,316.221700,359.729044,43.507344
fs,28n,10.240500,10.430659,0.190159,63.147300,65.168519,2.021219,74.834300,75.913915,1.079615,297.194000,343.676148,46.482148
average,28n,10.348380,10.274973,-0.073407,63.957440,64.014987,0.057547,75.668760,75.734567,0.065807,307.816740,351.569994,43.753254
