dataset,identity,design_point,corner_count,done_count,td,WK1,WK2,caz,caz1,cb,cbin,RON,IB,temperature,ENOB_avg,ENOB_min,ENOB_max,ENOB_valid_count,SNR_avg,SNR_min,SNR_max,SNR_valid_count,SFDR_avg,SFDR_min,SFDR_max,SFDR_valid_count,Power_uW_avg,Power_uW_min,Power_uW_max,Power_uW_valid_count,COMPOWER_uW_avg,COMPOWER_uW_min,COMPOWER_uW_max,COMPOWER_uW_valid_count,SRPOWER_uW_avg,SRPOWER_uW_min,SRPOWER_uW_max,SRPOWER_uW_valid_count,SWITCHESPOWER_uW_avg,SWITCHESPOWER_uW_min,SWITCHESPOWER_uW_max,SWITCHESPOWER_uW_valid_count,LOGICPOWER_uW_avg,LOGICPOWER_uW_min,LOGICPOWER_uW_max,LOGICPOWER_uW_valid_count,SYNCPOWER_uW_avg,SYNCPOWER_uW_min,SYNCPOWER_uW_max,SYNCPOWER_uW_valid_count
2026-06-11_NF10_新结构_最新结果,新结构 NF=10 取出结果,1,5,5,28n,300n,300n,300f,300f,1p,500f,150,500n,27,10.594871,10.517760,10.709281,5,65.613737,64.908978,66.604716,5,77.661224,76.965494,79.325605,5,209.367295,178.277395,245.119724,5,113.887116,87.867110,143.920461,5,13.365061,12.400998,14.078640,5,74.470996,70.267609,79.269740,5,,,,0,,,,0
2026-06-11_NF10_新结构_最新结果,新结构 NF=10 取出结果,2,5,5,28n,300n,2u,300f,300f,1p,500f,150,500n,27,9.870506,9.619698,10.034419,5,61.142008,59.575718,62.123843,5,72.357183,69.990028,73.771346,5,286.537719,237.747117,339.872893,5,190.999180,147.244107,238.686432,5,14.823015,14.101809,15.520876,5,74.473543,70.269539,79.268064,5,,,,0,,,,0
2026-06-11_NF10_新结构_最新结果,新结构 NF=10 取出结果,3,5,5,28n,300n,5u,300f,300f,1p,500f,150,500n,27,9.014369,8.833261,9.188106,5,56.193234,55.266816,57.407504,5,67.085115,66.049831,68.667681,5,317.509751,266.912300,371.071531,5,221.990852,176.479571,269.913642,5,15.992144,15.243556,16.687295,5,74.472472,70.266560,79.271979,5,,,,0,,,,0
2026-06-11_NF10_新结构_最新结果,新结构 NF=10 取出结果,4,5,5,28n,2u,300n,300f,300f,1p,500f,150,500n,27,10.335820,10.175668,10.526463,5,64.009164,63.073560,65.119981,5,75.417027,74.447898,76.605844,5,288.988448,240.980381,341.286596,5,193.445513,150.491413,240.109935,5,14.615504,13.890589,15.282524,5,74.475879,70.268373,79.272001,5,,,,0,,,,0
2026-06-11_NF10_新结构_最新结果,新结构 NF=10 取出结果,5,5,5,28n,2u,2u,300f,300f,1p,500f,150,500n,27,10.305884,10.273270,10.331385,5,63.801961,63.622444,63.927396,5,75.547181,74.363649,76.293342,5,329.605171,277.292588,384.853534,5,234.054403,186.761119,283.686044,5,15.570940,14.827906,16.265447,5,74.476812,70.270999,79.272632,5,,,,0,,,,0
2026-06-11_NF10_新结构_最新结果,新结构 NF=10 取出结果,6,5,5,28n,2u,5u,300f,300f,1p,500f,150,500n,27,9.961947,9.850305,10.066016,5,61.862265,61.352165,62.327385,5,73.861719,71.931665,74.774561,5,339.712393,292.129716,388.906888,5,244.175389,201.654104,287.742376,5,16.367308,15.750284,16.942429,5,74.473065,70.268152,79.270280,5,,,,0,,,,0
2026-06-11_NF10_新结构_最新结果,新结构 NF=10 取出结果,7,5,5,28n,5u,300n,300f,300f,1p,500f,150,500n,27,9.938885,9.832220,10.055806,5,61.601257,61.105467,62.306561,5,72.825639,71.414664,75.034537,5,324.559304,273.405197,378.883243,5,229.012710,182.899775,277.706343,5,15.679170,14.958266,16.346079,5,74.476307,70.269968,79.270893,5,,,,0,,,,0
2026-06-11_NF10_新结构_最新结果,新结构 NF=10 取出结果,8,5,5,28n,5u,2u,300f,300f,1p,500f,150,500n,27,10.442876,10.331217,10.525771,5,64.684294,64.245099,65.176941,5,76.276417,74.866277,78.099621,5,343.821615,295.816889,393.506305,5,248.275955,205.314575,292.304081,5,16.276110,15.661625,16.847992,5,74.474149,70.267906,79.272312,5,,,,0,,,,0
2026-06-11_NF10_新结构_最新结果,新结构 NF=10 取出结果,9,5,5,28n,5u,5u,300f,300f,1p,500f,150,500n,27,10.115536,9.952955,10.221416,5,62.779258,61.721354,63.322033,5,75.079616,74.334183,76.135013,5,343.924946,298.689032,389.773989,5,248.340475,208.122164,288.614375,5,16.785290,16.247583,17.278750,5,74.475073,70.271350,79.270221,5,,,,0,,,,0
