corner,SNR_24p05n_dB,SNR_28n_dB,delta_SNR_dB,equiv_total_noise_power_after_28n_pct_of_24p05n,equiv_total_noise_power_reduction_pct,ENOB_24p05n,ENOB_28n,delta_ENOB_bits,Power_24p05n_uW,Power_28n_uW,delta_Power_uW,delta_Power_pct
tt,70.683843,71.500572,0.816728,82.856617,17.143383,11.433288,11.583008,0.149720,355.414296,368.780328,13.366032,3.760690
ff,70.233569,71.599955,1.366387,73.006464,26.993536,11.284093,11.475874,0.191781,413.039137,428.879803,15.840667,3.835149
ss,70.871098,70.404747,-0.466351,111.335856,-11.335856,11.473031,11.387845,-0.085186,317.838700,328.272679,10.433979,3.282791
sf,70.225443,71.470106,1.244662,75.081642,24.918358,11.336727,11.494812,0.158085,369.502979,383.146353,13.643374,3.692358
fs,69.614736,71.472814,1.858078,65.191688,34.808312,11.246876,11.493543,0.246667,350.769573,363.407051,12.637478,3.602786
average_by_avg_SNR,70.325738,71.289639,0.963901,80.095831,19.904169,11.354803,11.487017,0.132213,361.312937,374.497243,13.184306,3.648999
