seed,valid,calibration_error,nominal_sndr,physical_sndr,calibrated_sndr,oracle_gap_db,cal_gain_db,nominal_enob,physical_enob,calibrated_enob,nominal_sndr_int12,physical_sndr_int12,calibrated_sndr_int12,nominal_enob_int12,physical_enob_int12,calibrated_enob_int12,nominal_sfdr_int12,nominal_sfdr,physical_sfdr,calibrated_sfdr,dnl_peak,dnl_rms,inl_peak,inl_rms,n_missing,n_non_monotonic,n_float_backsteps,worst_float_step_lsb,max_integer_jump,max_float_rollback_lsb,max_integer_rollback_lsb,float_nonmonotonic_input_fraction,integer_nonmonotonic_input_fraction,err_H1C,err_H2C,err_H4C,err_H8C-R,err_H8C-A,err_H16C,err_H32C,ratio_H1C,ratio_H2C,ratio_H4C,ratio_H8C-R,ratio_H8C-A,ratio_H16C,ratio_H32C
10000,True,,64.327,74.526,74.529,-0.003,10.202,10.393,12.087,12.088,63.918,71.239,71.168,10.325,11.541,11.53,73.66,73.76,95.452,95.205,0.826593901649153,0.3285105669159979,0.8019662186274792,0.3138377768975411,0,130,176,-0.8391134846719979,1,0.8391134846719979,1,0.00035047220643930245,0.00015605344792073156,0.0992,0.1852,0.3293,0.7614,0.752,1.5969,3.0169,0.000388,3.6e-05,0.000188,0.000101,2.9e-05,-5.9e-05,2.3e-05
10001,True,,61.539,74.763,74.688,0.075,13.149,9.93,12.127,12.114,61.286,71.251,71.185,9.888,11.543,11.532,65.975,65.922,96.585,96.103,0.7494853662403145,0.333206870543789,0.8982416214732564,0.36468429798923646,0,505,650,-0.8349740982166622,1,0.8349740982166622,1,0.002619759947803877,0.0014908491343941543,0.2443,0.5051,1.0129,2.0154,1.9876,3.9881,7.7134,0.000116,0.000281,-0.00072,0.000242,0.0002,-8.6e-05,8.8e-05
10002,True,,65.799,74.602,74.45,0.152,8.651,10.638,12.1,12.075,65.137,71.141,71.033,10.528,11.525,11.507,68.267,68.337,95.291,95.705,0.8369060032141784,0.33065639960360604,0.9390833710144164,0.33659838380827595,0,85,123,-0.8423952239199934,1,0.8423952239199934,1,0.0009203389689293872,0.0005650553639860801,0.5339,0.7402,1.466,2.8588,2.9784,5.7493,11.4714,-0.002813,-0.000309,-0.000144,7.1e-05,-0.000367,-0.000123,-0.000148
10003,True,,64.046,74.452,74.222,0.23,10.176,10.347,12.075,12.037,63.564,71.189,71.033,10.267,11.533,11.507,70.617,70.714,95.236,95.774,0.7579707190340226,0.3278359619286348,0.8215906334185799,0.30478926372762943,0,504,637,-0.8460788186926038,1,0.8460788186926038,1,0.0028988825850266597,0.0015756407500584332,0.6012,1.3028,2.5983,5.2204,5.0935,10.3257,20.5288,0.000598,-4.7e-05,-0.00016,-1.2e-05,7.6e-05,-9.9e-05,-3.9e-05
10004,True,,66.139,74.808,74.169,0.639,8.03,10.694,12.134,12.028,65.517,71.369,70.966,10.591,11.563,11.496,73.246,73.208,95.932,95.437,0.8299804473370342,0.33365973139779787,0.6950261806162102,0.2749422808948993,0,124,190,-0.8352185744352028,1,0.8352185744352028,1,0.004726006780358512,0.0010721638603464322,0.3423,0.4725,0.9611,1.7383,1.832,3.5262,6.9104,-0.001371,-0.000286,-0.000235,5.1e-05,7.7e-05,0.000123,0.000101
10005,True,,63.74,74.871,74.552,0.319,10.812,10.296,12.145,12.092,63.354,71.429,71.252,10.231,11.573,11.544,67.072,67.04,96.424,95.86,0.7964128741840237,0.3296498301169288,0.8619099007978885,0.31488322353336,0,68,97,-0.8360795372982466,1,0.8360795372982466,1,0.000828290632758677,0.00013840616472462867,0.1637,0.3346,0.6185,1.1559,1.1848,2.4211,4.7733,0.000229,0.000292,9.4e-05,-0.000136,-1.1e-05,2.6e-05,-8e-05
10006,True,,61.924,74.72,74.456,0.264,12.532,9.994,12.12,12.076,61.627,71.299,71.08,9.945,11.551,11.515,68.4,68.402,96.176,95.404,0.7614651209222254,0.3316493032807265,0.6927180743073138,0.2856587559665217,0,642,737,-0.8339233183837678,1,0.8339233183837678,1,0.0015096667059882705,0.0012259381342841248,0.3879,0.604,1.2674,2.6276,2.6763,5.2751,10.5514,-0.00093,-0.000197,-8.2e-05,-6.2e-05,6e-06,9.3e-05,0.000278
10007,True,,68.231,74.644,74.493,0.151,6.262,11.042,12.107,12.082,67.058,71.152,71.1,10.847,11.527,11.518,79.565,79.846,97.19,96.487,0.7802428660132248,0.33346401455979735,0.7749511927745549,0.3023353286052223,0,493,648,-0.8344121796544641,1,0.8344121796544641,1,0.004644158932065752,0.0013362872266418954,0.3319,0.7167,1.1336,2.2457,2.3372,4.7751,9.028,0.000492,-0.001372,-0.00017,-0.000204,-0.000471,7e-05,-0.000188
10008,True,,62.84,74.748,74.6,0.148,11.76,10.146,12.124,12.1,62.518,71.343,71.089,10.093,11.559,11.516,68.889,68.931,95.654,95.962,0.7308085997270295,0.33254617384244695,0.7211293607676583,0.28714592387725135,0,492,647,-0.8362149214017336,1,0.8362149214017336,1,0.0033384355221738873,0.0014027213549706122,0.1226,0.2645,0.6011,1.1769,1.1811,2.4189,4.5736,-5.6e-05,7.6e-05,0.00037,0.000305,0.000312,0.000367,0.000182
10009,True,,65.242,74.687,74.386,0.301,9.144,10.545,12.114,12.064,64.732,71.204,71.011,10.46,11.535,11.504,73.167,73.076,96.736,96.418,0.717600342316753,0.33179660172436304,0.7382680525017119,0.29049266860750594,0,525,635,-0.8370027521641532,1,0.8370027521641532,1,0.0012476532424871537,0.000864534733544263,0.1285,0.206,0.293,0.6656,0.6741,1.4527,2.6317,0.000937,5.7e-05,0.000143,2.3e-05,0.000298,0.000389,0.000129
