,,Parameter,,,,,,tt_0,tt_1,tt_2,ff_0,ff_1,ff_2,ss_0,ss_1,ss_2,sf_0,sf_1,sf_2,fs_0,fs_1,fs_2
,,rf018.scs,,,,,,tt_mim,tt_mim,tt_mim,ff_res,ff_res,ff_res,ss_res,ss_res,ss_res,ss_mim,ss_mim,ss_mim,ss_mim,ss_mim,ss_mim
,,rf018.scs,,,,,,tt_res,tt_res,tt_res,ff_mim,ff_mim,ff_mim,ss_mim,ss_mim,ss_mim,tt_res,tt_res,tt_res,tt_res,tt_res,tt_res
,,rf018.scs,,,,,,tt,tt,tt,ff,ff,ff,ss,ss,ss,sf,sf,sf,fs,fs,fs
,,temperature,,,,,,-40,27,85,-40,27,85,-40,27,85,-40,27,85,-40,27,85

Point,Test,Output,Spec,Weight,Pass/Fail,Min,Max,tt_0,tt_1,tt_2,ff_0,ff_1,ff_2,ss_0,ss_1,ss_2,sf_0,sf_1,sf_2,fs_0,fs_1,fs_2
Parameters: td=24.05n,,,,,,,,,,,,,,,,,,,,,,
1,12bit_50M_SAR_test_12bit50MSAR_AMS_final_1,/V28/PLUS,,,,,,,,,,,,,,,,,,,,
1,12bit_50M_SAR_test_12bit50MSAR_AMS_final_1,/V29/PLUS,,,,,,,,,,,,,,,,,,,,
1,12bit_50M_SAR_test_12bit50MSAR_AMS_final_1,/V30/PLUS,,,,,,,,,,,,,,,,,,,,
1,12bit_50M_SAR_test_12bit50MSAR_AMS_final_1,/I28/CLKFIA,,,,,,,,,,,,,,,,,,,,
1,12bit_50M_SAR_test_12bit50MSAR_AMS_final_1,/I28/CLKFIAB,,,,,,,,,,,,,,,,,,,,
1,12bit_50M_SAR_test_12bit50MSAR_AMS_final_1,SRPOWER,,,,11.56e-6,13.45e-6,11.94e-6,12.52e-6,12.99e-6,12.2e-6,12.86e-6,13.45e-6,11.56e-6,12.1e-6,12.49e-6,11.88e-6,12.49e-6,13.02e-6,11.85e-6,12.41e-6,12.86e-6
1,12bit_50M_SAR_test_12bit50MSAR_AMS_final_1,Power,,,,-380.7e-6,-275.7e-6,-311.9e-6,-318.7e-6,-323.2e-6,-368.2e-6,-375.3e-6,-380.7e-6,-275.7e-6,-282.7e-6,-287.4e-6,-327.8e-6,-332.8e-6,-336.2e-6,-305.2e-6,-314.1e-6,-320.8e-6
1,12bit_50M_SAR_test_12bit50MSAR_AMS_final_1,/I28/VOP1,,,,,,,,,,,,,,,,,,,,
1,12bit_50M_SAR_test_12bit50MSAR_AMS_final_1,/I28/VON1,,,,,,,,,,,,,,,,,,,,
1,12bit_50M_SAR_test_12bit50MSAR_AMS_final_1,/I28/V2,,,,,,,,,,,,,,,,,,,,
