seed,valid,calibration_error,nominal_sndr,physical_sndr,calibrated_sndr,oracle_gap_db,cal_gain_db,nominal_enob,physical_enob,calibrated_enob,nominal_sndr_int12,physical_sndr_int12,calibrated_sndr_int12,nominal_enob_int12,physical_enob_int12,calibrated_enob_int12,nominal_sfdr_int12,nominal_sfdr,physical_sfdr,calibrated_sfdr,dnl_peak,dnl_rms,inl_peak,inl_rms,n_missing,n_non_monotonic,n_float_backsteps,worst_float_step_lsb,max_integer_jump,max_float_rollback_lsb,max_integer_rollback_lsb,float_nonmonotonic_input_fraction,integer_nonmonotonic_input_fraction,err_H1C,err_H2C,err_H4C,err_H8C-R,err_H8C-A,err_H16C,err_H32C,ratio_H1C,ratio_H2C,ratio_H4C,ratio_H8C-R,ratio_H8C-A,ratio_H16C,ratio_H32C
10043,True,,69.445,74.648,74.475,0.173,5.03,11.243,12.108,12.079,68.069,71.201,71.124,11.015,11.535,11.522,75.693,75.53,95.261,93.822,0.7517540391976054,0.33112703750467654,0.9112142689171006,0.35419342305877355,0,4,63,-0.374927583688077,1,0.374927583688077,1,0.001474913911226536,6.341243011732215e-05,0.1233,0.1671,0.247,0.233,0.2536,0.3672,0.8634,0.002094,-0.000252,0.000131,-6.6e-05,-0.000215,-2.9e-05,-0.000146
10044,True,,65.675,74.72,74.662,0.058,8.987,10.617,12.12,12.11,65.079,71.246,71.195,10.518,11.542,11.534,70.158,70.088,96.394,94.709,0.8640894307201941,0.33036222500042217,0.8236076533353082,0.32043063006014605,0,252,351,-0.8400222121260867,1,0.8400222121260867,1,0.002511282373486226,0.0005160694923170966,0.184,0.4031,0.6705,1.3726,1.3535,2.8171,5.3734,-0.000243,-0.000512,0.000137,-6.3e-05,-2.2e-05,-0.000119,3.5e-05
10045,True,,65.798,74.643,74.579,0.064,8.781,10.638,12.107,12.096,65.162,71.16,71.111,10.532,11.528,11.52,72.432,72.228,96.399,96.037,0.7140269821197254,0.33127888822678353,0.7701297249562572,0.2937169782509573,0,58,79,-0.8353490202985085,1,0.8353490202985085,1,0.00027898882727374146,9.936669656115948e-05,0.2766,0.5583,0.8799,1.7988,1.8059,3.3989,6.6454,-0.000838,0.001058,0.000172,0.000245,-0.000254,6.4e-05,-3.8e-05
10046,True,,67.878,74.638,74.453,0.185,6.575,10.983,12.106,12.075,66.944,71.263,71.209,10.828,11.545,11.536,76.63,76.538,97.06,97.008,0.7222176533208269,0.32899316625041186,0.7191610638243153,0.27823514205709104,0,747,927,-0.8380314989271938,1,0.8380314989271938,1,0.0017193205984371166,0.0007117199470344637,0.0516,0.0539,0.0765,0.184,0.143,0.1438,0.2843,0.000868,-0.00031,-0.000191,-0.00025,0.000156,-4e-05,-3.9e-05
10047,True,,66.59,74.745,74.693,0.052,8.103,10.769,12.124,12.115,65.884,71.387,71.302,10.652,11.566,11.552,72.696,72.614,96.428,96.35,0.7481852283970358,0.33079698577939626,0.7777737816012864,0.28734700918034217,0,363,441,-0.8365622519959288,1,0.8365622519959288,1,0.0005444597028685851,0.00023969044964829937,0.1426,0.3887,0.5291,0.9365,0.9685,1.7941,3.6396,-0.001033,0.001174,0.000251,-0.000155,9.2e-05,-0.000131,-8e-05
10048,True,,65.341,74.784,74.703,0.081,9.362,10.562,12.13,12.117,64.78,71.408,71.368,10.468,11.569,11.563,75.307,75.468,96.867,96.129,0.7526787682326757,0.33207358555922656,0.885977413541517,0.3605849953199027,0,126,153,-0.8347483759030183,1,0.8347483759030183,1,0.0014193831050355985,0.0010304777019954085,0.3013,0.543,1.0959,2.0139,2.0803,4.1835,8.3991,0.000719,0.000263,-0.000291,-1.1e-05,0.000121,0.000129,-1.4e-05
10049,True,,64.186,74.6,74.337,0.263,10.151,10.37,12.1,12.056,63.742,71.171,71.064,10.296,11.53,11.512,68.451,68.474,94.425,91.802,0.7009153928373295,0.32914731578480927,0.7465689603015463,0.28820954313785246,0,192,257,-0.837052542150559,1,0.837052542150559,1,0.001542500453415053,0.0006635142900141742,0.2096,0.2308,0.3465,0.5986,0.6251,1.119,2.3712,-0.002143,0.000653,0.00014,-0.000185,-0.00014,-7.4e-05,3.2e-05
10050,True,,63.706,74.492,74.465,0.027,10.759,10.29,12.082,12.077,63.306,71.274,71.168,10.224,11.547,11.53,71.329,71.163,95.766,95.398,0.8461339316932064,0.3288234536396989,0.8231105925894531,0.3341951450852457,0,8,41,-0.3970407942501879,1,0.3970407942501879,1,0.0013066373663233163,0.00024994232534931646,0.3133,0.3596,0.7308,1.3412,1.357,2.713,5.3932,0.001611,-0.000126,-1.9e-05,0.000189,8e-06,1.2e-05,3e-05
10051,True,,66.121,74.56,74.556,0.004,8.435,10.691,12.093,12.092,65.352,71.277,71.306,10.563,11.548,11.552,74.491,74.77,95.436,94.646,0.741285295175296,0.33068572656287243,0.7032633095213813,0.2812673763710213,0,3,65,-0.0687672277922502,1,0.0687672277922502,1,0.0018817894514256183,6.443939447730793e-05,0.0827,0.06,0.0967,0.2301,0.1782,0.5394,0.9116,0.000849,0.0003,0.000117,-3e-05,4.2e-05,-0.000116,-5.7e-05
10052,True,,64.472,74.693,74.498,0.195,10.026,10.417,12.115,12.083,64.051,71.122,71.142,10.347,11.522,11.525,70.449,70.45,95.563,93.866,0.7390354035855986,0.3326653686973384,0.8399393288655278,0.3139393231235602,0,127,145,-0.8339408981619272,1,0.8339408981619272,1,0.0008572696991585923,0.0007605408147384224,0.4775,0.74,1.4722,2.5352,2.6407,5.1639,10.2814,-0.0016,0.000751,-0.000289,-0.000129,-8.8e-05,-3.5e-05,-1.5e-05
