
time (s)       v("OUT" ?resultsDir "/home/meow/jxy/codex_sandbox/sar0716_calibration_20260717/sourcecenter_sample03_full_huang_fft256/psf" ?result "tran") (V)
 1.85985e-05    7.16309e-01   
 1.86985e-05    2.49346e+00   
 1.87985e-05    1.54512e+00   
 1.88985e-05    1.59609e+00   
 1.89985e-05    2.44687e+00   
 1.90985e-05    7.56738e-01   
 1.91985e-05    3.16406e+00   
 1.92985e-05    2.14453e-01   
 1.93985e-05    3.49277e+00   
 1.94985e-05    1.23047e-01   
 1.95985e-05    3.33984e+00   
 1.96985e-05    5.08008e-01   
 1.97985e-05    2.74922e+00   
 1.98985e-05    1.26211e+00   
 1.99985e-05    1.88877e+00   
 2.00985e-05    2.16826e+00   
 2.01985e-05    1.00195e+00   
 2.02985e-05    2.96982e+00   
 2.03985e-05    3.42773e-01   
 2.04985e-05    3.43828e+00   
 2.05985e-05    9.84375e-02   
 2.06985e-05    3.44092e+00   
 2.07985e-05    3.38379e-01   
 2.08985e-05    2.97686e+00   
 2.09985e-05    9.94043e-01   
 2.10985e-05    2.17793e+00   
 2.11985e-05    1.87910e+00   
 2.12985e-05    1.27090e+00   
 2.13985e-05    2.74131e+00   
 2.14985e-05    5.14160e-01   
 2.15985e-05    3.33633e+00   
 2.16985e-05    1.24805e-01   
 2.17985e-05    3.49365e+00   
 2.18985e-05    2.10938e-01   
 2.19985e-05    3.16934e+00   
 2.20985e-05    7.48828e-01   
 2.21985e-05    2.45566e+00   
 2.22985e-05    1.58643e+00   
 2.23985e-05    1.55479e+00   
 2.24985e-05    2.48555e+00   
 2.25985e-05    7.24219e-01   
 2.26985e-05    3.18867e+00   
 2.27985e-05    1.99512e-01   
 2.28985e-05    3.49629e+00   
 2.29985e-05    1.30078e-01   
 2.30985e-05    3.32227e+00   
 2.31985e-05    5.36133e-01   
 2.32985e-05    2.71494e+00   
 2.33985e-05    1.30166e+00   
 2.34985e-05    1.84658e+00   
 2.35985e-05    2.20869e+00   
 2.36985e-05    9.65039e-01   
 2.37985e-05    2.99971e+00   
 2.38985e-05    3.21680e-01   
 2.39985e-05    3.44971e+00   
 2.40985e-05    9.93164e-02   
 2.41985e-05    3.42949e+00   
 2.42985e-05    3.59473e-01   
 2.43985e-05    2.94609e+00   
 2.44985e-05    1.03096e+00   
 2.45985e-05    2.13662e+00   
 2.46985e-05    1.92041e+00   
 2.47985e-05    1.23135e+00   
 2.48985e-05    2.77646e+00   
 2.49985e-05    4.87793e-01   
 2.50985e-05    3.35391e+00   
 2.51985e-05    1.17773e-01   
 2.52985e-05    3.48926e+00   
 2.53985e-05    2.25879e-01   
 2.54985e-05    3.14473e+00   
 2.55985e-05    7.82227e-01   
 2.56985e-05    2.41699e+00   
 2.57985e-05    1.62861e+00   
 2.58985e-05    1.51348e+00   
 2.59985e-05    2.52334e+00   
 2.60985e-05    6.91699e-01   
 2.61985e-05    3.21240e+00   
 2.62985e-05    1.85449e-01   
 2.63985e-05    3.49893e+00   
 2.64985e-05    1.38867e-01   
 2.65985e-05    3.30293e+00   
 2.66985e-05    5.64258e-01   
 2.67985e-05    2.67891e+00   
