index,time_s,code,raw_sum_q
0,1.298510000000e-06,1010,72172
1,1.398510000000e-06,2661,177856
2,1.498510000000e-06,1895,128800
3,1.598500000000e-06,1730,118260
4,1.698510000000e-06,2816,187760
5,1.798510000000e-06,875,63528
6,1.898510000000e-06,3555,235064
7,1.998500000000e-06,295,26420
8,2.098500000000e-06,3939,259624
9,2.198510000000e-06,130,15876
10,2.298510000000e-06,3876,255592
11,2.398510000000e-06,418,34296
12,2.498510000000e-06,3381,223924
13,2.598510000000e-06,1090,77308
14,2.698510000000e-06,2571,172096
15,2.798500000000e-06,1989,134820
16,2.898500000000e-06,1638,112368
17,2.998500000000e-06,2902,193264
18,3.098500000000e-06,801,58792
19,3.198510000000e-06,3612,238712
20,3.298510000000e-06,259,24136
21,3.398510000000e-06,3954,260584
22,3.498500000000e-06,138,16392
23,3.598500000000e-06,3845,253608
24,3.698500000000e-06,470,37624
25,3.798500000000e-06,3311,219464
26,3.898500000000e-06,1173,82624
27,3.998510000000e-06,2479,166208
28,4.098510000000e-06,2083,140876
29,4.198510000000e-06,1546,106480
30,4.298500000000e-06,2985,198580
31,4.398500000000e-06,731,54332
32,4.498500000000e-06,3665,242104
33,4.598500000000e-06,226,22024
34,4.698500000000e-06,3963,261164
35,4.798510000000e-06,152,17288
36,4.898510000000e-06,3809,251324
37,4.998510000000e-06,525,41144
38,5.098500000000e-06,3238,214792
39,5.198500000000e-06,1258,88064
40,5.298500000000e-06,2387,160316
41,5.398500000000e-06,2177,146896
42,5.498500000000e-06,1455,100656
43,5.598500000000e-06,3066,203768
44,5.698510000000e-06,664,50044
45,5.798500000000e-06,3714,245244
46,5.898500000000e-06,198,20232
47,5.998500000000e-06,3969,261548
48,6.098500000000e-06,170,18440
49,6.198500000000e-06,3769,248764
50,6.298500000000e-06,585,44984
51,6.398500000000e-06,3163,209988
52,6.498500000000e-06,1345,93612
53,6.598500000000e-06,2294,154384
54,6.698500000000e-06,2271,152912
55,6.798500000000e-06,1366,94956
56,6.898500000000e-06,3144,208772
57,6.998500000000e-06,600,45944
58,7.098500000000e-06,3759,248124
59,7.198500000000e-06,175,18760
60,7.298510000000e-06,3969,261548
61,7.398500000000e-06,192,19848
62,7.498500000000e-06,3725,245948
63,7.598500000000e-06,648,49020
64,7.698500000000e-06,3085,204996
65,7.798510000000e-06,1434,99312
66,7.898500000000e-06,2200,148368
67,7.998510000000e-06,2365,158908
68,8.098500000000e-06,1279,89408
69,8.198500000000e-06,3220,213640
70,8.298510000000e-06,540,42104
71,8.398500000000e-06,3800,250748
72,8.498510000000e-06,156,17544
73,8.598500000000e-06,3965,261292
74,8.698510000000e-06,219,21576
75,8.798500000000e-06,3677,242872
76,8.898500000000e-06,714,53244
77,8.998500000000e-06,3005,199860
78,9.098500000000e-06,1524,105072
79,9.198500000000e-06,2106,142348
80,9.298500000000e-06,2457,164800
81,9.398510000000e-06,1193,83904
82,9.498500000000e-06,3294,218376
83,9.598510000000e-06,483,38456
84,9.698500000000e-06,3836,253032
85,9.798500000000e-06,141,16584
86,9.898500000000e-06,3957,260776
87,9.998500000000e-06,250,23560
88,1.009850000000e-05,3625,239544
89,1.019850000000e-05,784,57704
90,1.029850000000e-05,2922,194544
91,1.039850000000e-05,1615,110896
92,1.049850000000e-05,2012,136292
93,1.059850000000e-05,2549,170688
94,1.069850000000e-05,1110,78588
95,1.079850000000e-05,3364,222836
96,1.089850000000e-05,430,35064
97,1.099850000000e-05,3869,255144
98,1.109850000000e-05,132,16004
99,1.119850000000e-05,3943,259880
100,1.129850000000e-05,286,25844
101,1.139850000000e-05,3570,236024
102,1.149850000000e-05,857,62376
103,1.159850000000e-05,2837,189104
104,1.169850000000e-05,1708,116852
105,1.179850000000e-05,1918,130272
106,1.189850000000e-05,2639,176448
107,1.199850000000e-05,1029,73400
108,1.209850000000e-05,3431,227124
109,1.219850000000e-05,381,31924
110,1.229850000000e-05,3897,256936
111,1.239850000000e-05,126,15620
112,1.249850000000e-05,3925,258728
113,1.259850000000e-05,326,28404
114,1.269850000000e-05,3510,232184
115,1.279850000000e-05,932,67180
116,1.289850000000e-05,2750,183556
117,1.299850000000e-05,1801,122784
118,1.309850000000e-05,1824,124256
119,1.319850000000e-05,2728,182148
120,1.329850000000e-05,951,68396
121,1.339850000000e-05,3495,231224
122,1.349850000000e-05,336,29044
123,1.359850000000e-05,3920,258408
124,1.369850000000e-05,126,15620
125,1.379850000000e-05,3903,257320
126,1.389850000000e-05,370,31220
127,1.399850000000e-05,3447,228148
