bin,frequency_hz,magnitude_dbc
0,0.000000000000e+00,-6153.053111372
1,7.812500000000e+04,-87.241005052
2,1.562500000000e+05,-96.363903494
3,2.343750000000e+05,-103.802924396
4,3.125000000000e+05,-98.077009161
5,3.906250000000e+05,-89.337843747
6,4.687500000000e+05,-101.619718058
7,5.468750000000e+05,-88.603711336
8,6.250000000000e+05,-110.036001987
9,7.031250000000e+05,-91.565149620
10,7.812500000000e+05,-112.510310062
11,8.593750000000e+05,-85.086132322
12,9.375000000000e+05,-102.372985062
13,1.015625000000e+06,-88.661954601
14,1.093750000000e+06,-98.444925259
15,1.171875000000e+06,-92.813397564
16,1.250000000000e+06,-96.528409581
17,1.328125000000e+06,-82.567235957
18,1.406250000000e+06,-95.851185340
19,1.484375000000e+06,-92.216742316
20,1.562500000000e+06,-96.223019283
21,1.640625000000e+06,-89.295448964
22,1.718750000000e+06,-97.744161057
23,1.796875000000e+06,-100.888369130
24,1.875000000000e+06,-100.945937128
25,1.953125000000e+06,-85.372989799
26,2.031250000000e+06,-108.129299513
27,2.109375000000e+06,-87.372144938
28,2.187500000000e+06,-116.014675944
29,2.265625000000e+06,-90.492201530
30,2.343750000000e+06,-103.220874809
31,2.421875000000e+06,-102.692946956
32,2.500000000000e+06,-98.851016456
33,2.578125000000e+06,-96.454949517
34,2.656250000000e+06,-96.717450765
35,2.734375000000e+06,-86.140239422
36,2.812500000000e+06,-95.882642455
37,2.890625000000e+06,-89.811471382
38,2.968750000000e+06,-96.105001961
39,3.046875000000e+06,-86.427753848
40,3.125000000000e+06,-97.443788865
41,3.203125000000e+06,-83.321766680
42,3.281250000000e+06,-100.340174638
43,3.359375000000e+06,-93.611566773
44,3.437500000000e+06,-106.584234257
45,3.515625000000e+06,-90.655415779
46,3.593750000000e+06,-122.024807017
47,3.671875000000e+06,-92.771596591
48,3.750000000000e+06,-104.183923287
49,3.828125000000e+06,-89.816791081
50,3.906250000000e+06,-99.299033608
51,3.984375000000e+06,-97.148273651
52,4.062500000000e+06,-96.932120215
53,4.140625000000e+06,-85.896644139
54,4.218750000000e+06,-95.935240607
55,4.296875000000e+06,-91.125344048
56,4.375000000000e+06,-96.009237712
57,4.453125000000e+06,-88.091475902
58,4.531250000000e+06,-97.173718570
59,4.609375000000e+06,0.000000000
60,4.687500000000e+06,-99.793544963
61,4.765625000000e+06,-91.627761430
62,4.843750000000e+06,-105.290957881
63,4.921875000000e+06,-93.759245391
64,5.000000000000e+06,-6153.053111372
