seed,valid,calibration_error,nominal_sndr,physical_sndr,calibrated_sndr,oracle_gap_db,cal_gain_db,nominal_enob,physical_enob,calibrated_enob,nominal_sndr_int12,physical_sndr_int12,calibrated_sndr_int12,nominal_enob_int12,physical_enob_int12,calibrated_enob_int12,nominal_sfdr_int12,nominal_sfdr,physical_sfdr,calibrated_sfdr,dnl_peak,dnl_rms,inl_peak,inl_rms,n_missing,n_non_monotonic,n_float_backsteps,worst_float_step_lsb,max_integer_jump,max_float_rollback_lsb,max_integer_rollback_lsb,float_nonmonotonic_input_fraction,integer_nonmonotonic_input_fraction,err_H1C,err_H2C,err_H4C,err_H8C-R,err_H8C-A,err_H16C,err_H32C,ratio_H1C,ratio_H2C,ratio_H4C,ratio_H8C-R,ratio_H8C-A,ratio_H16C,ratio_H32C
10000,True,,64.327,74.526,71.722,2.804,7.395,10.393,12.087,11.622,63.918,71.239,69.581,10.325,11.541,11.266,73.66,73.76,95.452,81.927,0.8530089394418774,0.3310232178402567,1.1067107417900375,0.3748972713207265,0,129,164,-0.8406897967565783,1,0.8406897967565783,1,0.00022926908399845776,0.0001476080177636983,0.5469,0.8883,0.7629,1.8278,2.2988,3.6008,6.9427,-0.004635,-0.003218,0.000604,0.00042,-0.000803,0.000123,0.000244
10001,True,,61.539,74.763,73.374,1.389,11.835,9.93,12.127,11.896,61.286,71.251,70.563,9.888,11.543,11.429,65.975,65.922,96.585,88.298,1.0194485567717173,0.3354750920888197,0.9301362372365807,0.32176629551084357,0,517,594,-0.8326555510370781,1,0.8326555510370781,1,0.0013186741630949845,0.001132828920651267,0.5177,1.5676,2.3918,3.5193,3.4681,7.1834,13.8257,0.001423,0.005474,-0.000176,0.0003,0.000223,-0.000355,-6.4e-05
10002,True,,65.799,74.602,74.094,0.508,8.295,10.638,12.1,12.016,65.137,71.141,71.001,10.528,11.525,11.502,68.267,68.337,95.291,90.235,0.803613844081458,0.3284276733057466,0.8275077482860757,0.305233849920577,0,79,119,-0.8430262480701458,1,0.8430262480701458,1,0.0008603180067608678,0.0005239583131940839,0.7526,0.9671,1.8215,3.4877,3.7401,6.7516,12.9753,-0.005169,-0.000681,-3.3e-05,-0.000194,-0.000856,-0.000175,9e-05
10003,True,,64.046,74.452,71.204,3.248,7.158,10.347,12.075,11.535,63.564,71.189,69.344,10.267,11.533,11.227,70.617,70.714,95.236,78.976,0.9339230810289341,0.32789134751592425,1.2960053922508954,0.41067045429837845,0,486,584,-0.8458996075191862,1,0.8458996075191862,1,0.0016644141342920782,0.0013851117624412413,0.5748,1.7026,2.4655,5.4509,5.0832,10.3112,20.2358,0.004249,-0.003363,0.000126,-0.000468,-0.000166,0.000378,-3.3e-05
10004,True,,66.139,74.808,73.311,1.497,7.172,10.694,12.134,11.886,65.517,71.369,70.492,10.591,11.563,11.417,73.246,73.208,95.932,89.54,0.829971294697678,0.33405144967821715,0.8949243930034187,0.32346955242321784,0,123,146,-0.8352881183072896,1,0.8352881183072896,1,0.0012880436716027222,0.0008546589073752959,0.8224,0.5468,0.7462,1.8902,1.9054,3.6112,7.1721,0.008761,-0.003658,-0.00153,0.000235,0.000293,9.5e-05,7.5e-05
10005,True,,63.74,74.871,74.3,0.571,10.56,10.296,12.145,12.05,63.354,71.429,71.069,10.231,11.573,11.513,67.072,67.04,96.424,88.384,0.7960531884181263,0.33256441863663616,0.9118908292059996,0.32504986488516147,0,61,76,-0.8364824839140965,1,0.8364824839140965,1,0.00011657246339217935,6.352103679473607e-05,0.1794,0.8776,1.1506,1.1173,1.0132,1.8703,3.8512,0.000842,0.004742,-0.002388,0.000243,-0.000316,-0.000105,-4.2e-05
10006,True,,61.924,74.72,71.967,2.753,10.043,9.994,12.12,11.662,61.627,71.299,69.718,9.945,11.551,11.289,68.4,68.402,96.176,81.815,0.8855928257084054,0.3350722908357997,0.9425157665335102,0.35143364631143525,0,600,724,-0.8330790357035767,1,0.8330790357035767,1,0.0013256410185529866,0.0010879064087162974,0.5328,0.7407,2.1541,3.0846,3.3091,6.6323,12.812,0.002499,-0.002051,0.001221,3.5e-05,0.000253,0.000538,-0.000125
10007,True,,68.231,74.644,73.944,0.7,5.713,11.042,12.107,11.991,67.058,71.152,70.995,10.847,11.527,11.501,79.565,79.846,97.19,88.1,0.8013447559158424,0.3343513676455167,0.8568168942585332,0.31154401414468474,0,488,584,-0.8335029513536938,1,0.8335029513536938,1,0.0012910443227686032,0.001078817858751661,0.6436,0.9247,1.4969,2.804,3.4271,5.6227,11.6061,-0.004193,0.001519,0.000153,-0.000181,-0.000686,-0.000165,-3.2e-05
10008,True,,62.84,74.748,73.562,1.186,10.722,10.146,12.124,11.927,62.518,71.343,70.703,10.093,11.559,11.452,68.889,68.931,95.654,87.669,0.7409656216697733,0.33684877982211037,1.1923280932760554,0.4369333617215383,0,495,603,-0.8331637843339195,1,0.8331637843339195,1,0.0010381295647202415,0.000765690890675952,1.0835,0.9325,1.4292,3.1919,3.8452,6.6681,13.0697,0.010507,-0.001359,-0.000253,0.000237,0.00153,-4.6e-05,0.000165
10009,True,,65.242,74.687,72.451,2.236,7.209,10.545,12.114,11.743,64.732,71.204,70.059,10.46,11.535,11.345,73.167,73.076,96.736,84.722,0.9632844377005481,0.3376457482233163,1.4562319139388158,0.48961965559336273,0,487,594,-0.8343520782400446,1,0.8343520782400446,1,0.0008500665780799784,0.0006634095501171678,0.6282,0.6358,1.2216,2.1421,2.6585,5.1559,9.8338,0.00087,0.000622,-0.002617,-0.000269,0.00082,0.000645,0.000445
10010,True,,67.679,74.638,72.956,1.682,5.277,10.95,12.106,11.827,66.681,71.245,70.187,10.784,11.542,11.367,74.462,74.606,96.148,86.269,1.2725429766709144,0.3306508438181416,1.1783409849692905,0.4267074743626799,0,60,73,-0.8407761010166723,1,0.8407761010166723,1,0.00032129397490908657,0.000266938838525156,0.4915,0.8917,1.2115,2.209,2.25,4.0311,7.567,-0.00392,0.0073,-0.001145,0.000953,-0.000827,-4.3e-05,-0.000152
10011,True,,55.723,74.61,72.655,1.955,16.932,8.964,12.101,11.777,55.639,71.198,70.15,8.95,11.535,11.36,61.707,61.783,95.748,83.413,0.904060351936428,0.3353855373898818,1.0883290954068536,0.3674991200047972,0,128,161,-0.8324862776989903,1,0.8324862776989903,1,0.0003472086450421561,0.00028557188826651794,0.8269,1.4352,1.6429,3.9341,3.7637,7.4965,14.0252,0.005604,0.003708,-0.000738,0.000516,-0.001515,0.000161,-0.000337
10012,True,,57.728,74.567,72.184,2.383,14.456,9.297,12.094,11.698,57.611,71.112,69.968,9.277,11.52,11.33,64.142,64.186,97.241,85.519,0.9098607118868465,0.33406061691110733,1.1961221268022428,0.38070560007525206,0,196,261,-0.839053375678759,1,0.839053375678759,1,0.0011330950712698704,0.0007313444365135908,0.4832,0.2519,0.6801,1.1997,0.9831,1.5436,3.1038,-0.005584,0.001048,-0.000947,0.000256,-0.000234,0.000675,0.000135
10013,True,,58.517,74.693,71.153,3.54,12.636,9.428,12.115,11.527,58.398,71.203,69.214,9.408,11.535,11.205,62.892,62.887,97.036,81.853,1.124663546764073,0.32813580420979915,1.3825304324581205,0.462649417751099,0,613,739,-0.8486167236555957,1,0.8486167236555957,1,0.0017056750317728324,0.001204699017350997,0.8621,2.0845,4.0277,7.0253,6.9173,13.5766,27.1496,0.000883,-0.002333,-0.001858,0.000349,-0.0003,2.6e-05,0.000322
10014,True,,59.969,74.598,73.812,0.786,13.843,9.669,12.099,11.969,59.774,71.084,70.706,9.637,11.516,11.453,66.713,66.721,95.717,88.538,0.7670882701826759,0.33555003261621164,0.7533583610405596,0.2946849029186562,0,487,588,-0.8307973219721134,1,0.8307973219721134,1,0.0006926750669280859,0.0005744120904773004,0.6155,1.4522,2.5735,4.5767,5.4728,10.2501,18.7899,0.000571,-0.002391,-0.000621,-0.000515,-0.001349,0.000822,7.2e-05
10015,True,,60.288,74.581,73.767,0.814,13.479,9.722,12.096,11.961,60.106,71.214,70.755,9.692,11.537,11.461,64.083,64.095,95.365,84.426,0.925959410617609,0.33288603917185655,0.8310481813574001,0.2939730631437992,0,246,294,-0.8369954011245682,1,0.8369954011245682,1,0.0008968594940292661,0.0007342067409860159,0.344,0.4312,0.5074,0.502,1.1287,1.6031,3.1485,-0.002677,-0.001094,0.000672,-0.00029,0.00089,0.000263,-0.000118
10016,True,,68.997,74.559,73.729,0.83,4.732,11.169,12.093,11.955,67.801,71.193,70.772,10.97,11.534,11.464,74.95,74.801,96.45,89.484,0.730582897816908,0.3313223577148192,0.9795438952639541,0.34066464401108204,0,0,0,0.0,1,0.0,0,0.0,0.0,0.2203,0.4149,0.2807,0.5433,0.1479,0.5146,0.6222,0.001818,-0.002725,0.00029,-0.000604,0.000133,-7e-05,0.000188
10017,True,,67.56,74.848,72.669,2.179,5.109,10.93,12.141,11.779,66.627,71.306,70.138,10.775,11.552,11.359,72.211,72.196,95.064,85.531,1.0922262461245835,0.33556010526384294,1.1275794699986128,0.36276249290239077,0,426,510,-0.8392253304646147,1,0.8392253304646147,1,0.002465380407751694,0.002046965399429542,0.5674,0.8315,0.8779,1.6928,0.9517,1.9149,3.6808,0.001248,0.001139,-0.001656,-0.001529,-0.000136,-0.000152,0.000347
10018,True,,65.903,74.568,70.874,3.694,4.971,10.655,12.094,11.481,65.187,71.22,69.109,10.536,11.538,11.188,72.962,73.113,95.422,77.733,0.857257096651485,0.33129285472614545,1.3213733912209515,0.4882979927695949,0,123,144,-0.8400000000001455,1,0.8400000000001455,1,0.0004095428694224423,0.00034981786763151247,0.2665,0.4599,1.0394,1.6809,1.02,2.1645,5.8028,-0.001614,-0.001071,-0.000157,-0.000768,0.000438,0.00034,-0.000343
10019,True,,62.691,74.703,71.146,3.557,8.455,10.121,12.117,11.526,62.318,71.253,69.307,10.059,11.544,11.22,69.825,69.905,96.479,78.634,1.0949954145531522,0.3320702307706483,1.4404945863219925,0.48573649289679444,0,120,146,-0.8410351201482626,1,0.8410351201482626,1,0.0007922132697727254,0.0006511341943334051,0.5369,0.2533,1.3906,2.2031,2.4012,3.9746,7.3045,-0.004181,0.002336,-0.001421,-0.000302,-0.000637,8.1e-05,0.000375
10020,True,,60.934,74.595,73.051,1.544,12.117,9.83,12.099,11.842,60.693,71.285,70.366,9.789,11.549,11.396,62.955,63.018,95.645,81.901,0.7858838114431421,0.33119129277764925,1.0822470132905013,0.38608834686037047,0,246,302,-0.8406897967565783,1,0.8406897967565783,1,0.0005515436162401857,0.0004160801041854782,0.3197,0.8693,0.9014,1.9908,2.2179,4.1032,6.9996,0.001464,0.003106,0.002291,0.000638,-0.000984,-0.000226,4e-06
10021,True,,58.859,74.764,73.055,1.709,14.196,9.485,12.127,11.843,58.762,71.408,70.432,9.469,11.569,11.407,67.275,67.292,97.254,87.752,0.7453484379531305,0.3393212927251234,1.0771643441854568,0.3878426901434662,0,0,0,0.0,1,0.0,0,0.0,0.0,1.0504,2.4736,4.3742,8.6437,8.4142,17.6728,33.6321,-0.001068,-0.001672,0.000858,-0.000978,0.00025,-0.000587,0.000414
10022,True,,59.365,74.711,72.488,2.223,13.123,9.569,12.118,11.749,59.221,71.278,70.214,9.545,11.548,11.371,64.752,64.744,96.557,85.775,1.0112939986562721,0.3351511736776381,1.147517086318634,0.3925954160790782,0,732,877,-0.8339272986459036,1,0.8339272986459036,1,0.0006596088455963439,0.00053919779873794,1.1068,1.0608,1.3986,2.5928,2.9836,5.5439,10.1353,-0.008157,0.003097,-0.000706,2.6e-05,0.000755,0.00037,-0.00013
10023,True,,61.687,74.64,71.75,2.89,10.063,9.955,12.106,11.626,61.374,71.119,69.659,9.903,11.521,11.279,68.115,68.163,96.291,82.967,1.4923357324326854,0.3329731296094911,1.2398262911191102,0.38489274544999647,0,118,141,-0.8420727945713224,1,0.8420727945713224,1,0.0007491797018916722,0.000626973083852851,0.6361,0.7491,1.4127,2.3726,3.0896,5.9281,10.8829,0.000595,-0.000489,3.7e-05,0.000678,-0.000663,-1e-06,3.6e-05
10024,True,,64.047,74.737,72.568,2.169,8.521,10.347,12.122,11.762,63.642,71.159,70.11,10.279,11.528,11.354,71.436,71.303,96.971,79.86,1.4783162480051488,0.33008872068433515,1.084541358023063,0.42316285543933396,0,4,7,-0.421860513031902,1,0.421860513031902,1,2.2837683306744247e-06,1.3050104745171431e-06,0.6247,1.4067,1.6222,3.5438,3.8465,7.3649,15.6764,-0.002591,0.000844,0.001008,0.001226,-0.000379,-5.4e-05,-6.5e-05
10025,True,,63.037,74.452,73.602,0.85,10.565,10.179,12.075,11.934,62.733,71.312,70.588,10.128,11.553,11.433,71.269,71.182,96.255,88.16,0.8398667626531313,0.33670122087134513,1.0846028802939953,0.373844233224278,0,1,1,-0.41527228475820266,1,0.41527228475820266,1,3.035171986460306e-05,3.035171986460306e-05,0.811,1.4924,2.844,5.1818,5.2458,10.0652,19.4883,0.003346,0.00238,0.001875,-0.000463,1e-05,0.000199,0.000146
