seed,valid,calibration_error,nominal_sndr,physical_sndr,calibrated_sndr,oracle_gap_db,cal_gain_db,nominal_enob,physical_enob,calibrated_enob,nominal_sndr_int12,physical_sndr_int12,calibrated_sndr_int12,nominal_enob_int12,physical_enob_int12,calibrated_enob_int12,nominal_sfdr_int12,nominal_sfdr,physical_sfdr,calibrated_sfdr,dnl_peak,dnl_rms,inl_peak,inl_rms,n_missing,n_non_monotonic,n_float_backsteps,worst_float_step_lsb,max_integer_jump,max_float_rollback_lsb,max_integer_rollback_lsb,float_nonmonotonic_input_fraction,integer_nonmonotonic_input_fraction,err_H1C,err_H2C,err_H4C,err_H8C-R,err_H8C-A,err_H16C,err_H32C,ratio_H1C,ratio_H2C,ratio_H4C,ratio_H8C-R,ratio_H8C-A,ratio_H16C,ratio_H32C
10060,True,,64.859,74.618,72.074,2.544,7.215,10.482,12.103,11.68,64.37,71.275,69.817,10.4,11.547,11.305,69.926,69.833,95.884,80.449,0.8435514154578065,0.33288061922004425,1.0942022140932157,0.359485913470953,0,498,592,-0.8380231249361714,1,0.8380231249361714,1,0.0005871428186457443,0.0004550192931031951,0.2028,0.2916,0.3516,0.3839,0.5611,0.2217,0.2459,0.002933,0.002079,0.000957,0.000613,-0.000764,-0.000259,-0.000129
10061,True,,66.079,74.591,73.468,1.123,7.389,10.684,12.098,11.912,65.418,71.149,70.599,10.574,11.526,11.435,72.101,72.02,97.207,88.26,1.0587021697966486,0.3312769841256617,0.9445780555901843,0.32172708833654445,0,119,145,-0.8387096774195015,1,0.8387096774195015,1,0.0007010959293168154,0.0005753821764737795,0.1906,0.3201,0.4755,0.7132,0.7254,1.4112,1.9455,-0.001339,-0.001362,0.000333,-0.000311,-0.000331,-0.000295,0.000116
10062,True,,67.49,74.604,71.508,3.096,4.018,10.919,12.1,11.586,66.609,71.122,69.501,10.772,11.522,11.253,74.038,73.875,96.267,82.677,0.745263282110314,0.3319980920203571,1.204443103336662,0.4150120137921011,0,0,0,0.0,1,0.0,0,0.0,0.0,0.1697,0.3606,0.149,1.0333,0.653,0.9798,2.7019,0.000446,0.000451,0.001051,0.000243,0.000515,8e-06,-5.6e-05
10063,True,,64.818,74.672,73.241,1.431,8.423,10.475,12.112,11.874,64.252,71.245,70.511,10.381,11.542,11.42,69.372,69.42,94.36,88.203,0.9045617312651997,0.33150415828440133,1.022863522491681,0.3563754747137902,0,501,609,-0.8395694515634204,1,0.8395694515634204,1,0.0010260404832247976,0.0007506208684383025,0.6884,0.2283,0.9552,1.342,0.9189,2.2993,4.0039,-0.008294,0.001836,0.002474,-0.000457,0.000693,-0.0001,0.000178
10064,True,,68.982,74.543,73.151,1.392,4.169,11.166,12.09,11.859,67.699,71.104,70.437,10.953,11.519,11.408,76.189,76.01,97.217,86.411,0.8746430381512653,0.33419039681319196,0.9446458162025637,0.332394512459012,0,0,0,0.0,1,0.0,0,0.0,0.0,0.4781,0.227,0.9398,1.401,1.4929,2.7921,6.1104,0.004619,-0.001989,5.9e-05,-0.00019,0.000225,-1.5e-05,0.000293
10065,True,,69.507,74.56,73.897,0.663,4.39,11.254,12.093,11.983,68.183,71.2,70.868,11.034,11.535,11.48,78.565,78.667,96.27,87.379,0.7700219225649076,0.33138456239833225,0.8234218154286929,0.3200767456500017,0,4,18,-0.41907588394860795,1,0.41907588394860795,1,0.0005397107109008491,0.00011993571353344223,0.2058,0.227,0.3943,0.4582,0.1281,0.3783,0.7279,0.001708,-0.0015,-0.001268,-5.4e-05,0.000443,0.000171,-9e-05
10066,True,,60.906,74.646,71.952,2.694,11.046,9.825,12.107,11.66,60.72,71.015,69.789,9.794,11.504,11.301,66.508,66.565,94.887,82.669,1.2926633406572265,0.33520864528450367,1.2005247090975124,0.40068654491714467,0,618,766,-0.8353733170138185,1,0.8353733170138185,1,0.0011729862372788777,0.0007568157744355425,0.8744,0.8414,1.437,1.5475,1.755,3.2433,6.8167,0.009581,0.00304,0.002132,-0.000371,-0.00067,-0.000745,-4.3e-05
10067,True,,69.453,74.668,73.258,1.41,3.805,11.245,12.111,11.877,68.048,71.287,70.477,11.011,11.549,11.415,80.242,80.279,96.029,87.51,0.9355175142334633,0.332317126946793,0.8357028893089906,0.3010689336794716,0,262,302,-0.8360128617364353,1,0.8360128617364353,1,0.0008487226868951463,0.0006095111505993103,0.3677,1.0032,0.9187,1.5034,1.5104,2.7339,4.8581,0.002954,0.004973,0.000867,0.000242,0.00026,-0.000212,-0.000291
10068,True,,64.435,74.786,71.849,2.937,7.414,10.411,12.131,11.643,64.009,71.398,69.703,10.34,11.568,11.286,71.025,70.965,96.777,85.518,1.1250695727142102,0.33534565452337567,1.2754095701264931,0.429270148196716,0,252,306,-0.8366533864546,1,0.8366533864546,1,0.00016702261205185363,8.637391546528673e-05,0.3482,0.539,0.8115,0.5391,1.1152,2.2259,3.7329,-0.006846,0.002347,-0.001357,-0.000679,0.000393,0.000386,-6.9e-05
10069,True,,66.206,74.63,73.188,1.442,6.982,10.705,12.105,11.865,65.563,71.267,70.476,10.598,11.546,11.415,72.905,72.837,96.665,84.428,0.9692082501565236,0.33438893101878464,1.232932459547007,0.423469019256286,0,876,1069,-0.8357995713849959,1,0.8357995713849959,1,0.0020152882328080147,0.0015472688750674678,0.4376,0.599,1.0903,1.7705,1.4696,2.4592,5.278,0.00242,0.000664,0.001406,0.000338,8.4e-05,-0.000367,-0.000279
10070,True,,69.668,74.65,72.826,1.824,3.158,11.28,12.108,11.805,68.437,71.241,70.259,11.076,11.542,11.379,78.148,78.155,95.962,85.033,0.7203273486582034,0.32951490015714785,1.1932750029538057,0.42228275144216315,0,202,260,-0.8401723430447419,1,0.8401723430447419,1,0.0006833922403432628,0.00038306473762702914,0.6172,0.4698,0.4195,1.6903,2.114,2.9259,5.9767,-0.006724,0.00116,0.000997,-0.0006,-3.4e-05,-0.000147,-0.000149
10071,True,,67.276,74.59,73.836,0.754,6.56,10.883,12.098,11.973,66.464,71.328,70.811,10.748,11.556,11.47,74.874,74.656,95.369,91.51,0.7316912255976538,0.32566342174821566,0.8697770477673911,0.32312712032744784,0,334,402,-0.8426792879927234,1,0.8426792879927234,1,0.002710283988625598,0.0018733635698695381,0.4986,1.1495,1.716,2.9621,3.2273,6.3219,12.4386,-0.002037,0.000139,0.000767,0.000228,-0.000549,8.3e-05,-0.000332
10072,True,,66.7,74.626,73.261,1.365,6.561,10.787,12.104,11.877,66.037,71.253,70.469,10.677,11.544,11.413,75.176,75.128,95.757,87.04,1.2083344072884166,0.33219640835717373,1.0644688095947314,0.37891587995665515,0,61,72,-0.8377659574471181,1,0.8377659574471181,1,0.0002241129608686254,0.0001898734807360006,0.2885,0.2424,0.2838,0.2554,0.4527,0.2235,0.4955,0.004017,0.001505,4.5e-05,0.000164,0.000538,-9.8e-05,-0.000292
10073,True,,72.036,74.712,73.934,0.778,1.898,11.674,12.118,11.989,69.815,71.216,70.808,11.305,11.538,11.47,81.814,81.659,96.232,91.271,0.9769392675568964,0.32944828779549995,0.7608264438090799,0.28038052488389603,0,122,146,-0.8425925925926094,1,0.8425925925926094,1,0.0007192555630827174,0.0005921815475506647,0.4444,0.927,1.5507,2.9686,3.2431,6.2448,12.3386,-0.001016,0.002081,-9.8e-05,0.000277,-0.000378,-0.000156,-7.7e-05
10074,True,,70.661,74.578,72.65,1.928,1.989,11.445,12.096,11.776,69.033,71.183,70.223,11.175,11.532,11.373,76.004,75.915,95.341,84.62,0.9097125994236446,0.33293774219940536,1.1222338315770557,0.39141666844431483,0,248,292,-0.8389674247082439,1,0.8389674247082439,1,0.0004652236927561084,0.00039512149247859004,0.2515,0.1803,0.4044,0.8004,0.6436,1.4385,2.9294,0.004899,0.000399,8.1e-05,-0.000363,-7.6e-05,0.000472,-0.000242
