corner,td,ENOB_full_noise_nominal,ENOB_sampling_nf10_new,ENOB_delta_sampling_minus_full,SNR_full_noise_nominal,SNR_sampling_nf10_new,SNR_delta_sampling_minus_full,SFDR_full_noise_nominal,SFDR_sampling_nf10_new,SFDR_delta_sampling_minus_full,Power_full_noise_nominal_uW,Power_sampling_nf10_new_uW,Power_delta_sampling_minus_full_uW
tt,28n,11.583008,10.313381,-1.269627,71.500572,64.195017,-7.305555,83.662535,75.568178,-8.094357,368.780300,341.058700,-27.721600
ff,28n,11.475874,10.830223,-0.645651,71.599955,67.175275,-4.424680,80.347903,78.585448,-1.762455,428.879800,367.215700,-61.664100
ss,28n,11.387845,9.899442,-1.488403,70.404747,61.275201,-9.129546,82.183781,73.670416,-8.513365,328.272700,337.754200,9.481500
sf,28n,11.494812,10.306936,-1.187876,71.470106,63.950329,-7.519777,80.966832,76.706955,-4.259877,383.146400,356.358900,-26.787500
fs,28n,11.493543,10.388253,-1.105290,71.472814,64.752703,-6.720111,80.703135,75.291987,-5.411148,363.407100,341.577600,-21.829500
average,28n,11.487000,10.347600,-1.139400,71.289600,64.269700,-7.019900,81.572800,75.964600,-5.608200,374.497200,348.793000,-25.704200
