corner,td,ENOB_yesterday,ENOB_new,ENOB_delta_new_minus_yesterday,SNR_yesterday,SNR_new,SNR_delta_new_minus_yesterday,SFDR_yesterday,SFDR_new,SFDR_delta_new_minus_yesterday,Power_yesterday,Power_new,Power_delta_new_minus_yesterday,COMPOWER_yesterday,COMPOWER_new,COMPOWER_delta_new_minus_yesterday
tt,28n,10.687700,10.313381,-0.374319,65.941300,64.195017,-1.746283,77.464300,75.568178,-1.896122,303.080300,341.058700,37.978400,171.868800,138.826100,-33.042700
ff,28n,10.230500,10.830223,0.599723,63.514900,67.175275,3.660375,75.107400,78.585448,3.478048,356.952400,367.215700,10.263300,218.180500,151.909400,-66.271100
ss,28n,10.242100,9.899442,-0.342658,63.226800,61.275201,-1.951599,74.457400,73.670416,-0.786984,265.635300,337.754200,72.118900,140.801200,144.197400,3.396200
sf,28n,10.341100,10.306936,-0.034164,63.956900,63.950329,-0.006571,76.480400,76.706955,0.226555,316.221700,356.358900,40.137200,184.731900,154.118000,-30.613900
fs,28n,10.240500,10.388253,0.147753,63.147300,64.752703,1.605403,74.834300,75.291987,0.457687,297.194000,341.577600,44.383600,165.422000,136.773700,-28.648300
average,28n,10.348400,10.347600,-0.000800,63.957400,64.269700,0.312300,75.668800,75.964600,0.295800,307.816700,348.793000,40.976300,176.200900,145.164900,-31.036000
