corner,td,ENOB_full,ENOB_comparison_B,ENOB_delta_comparison_B_minus_full,SNR_full,SNR_comparison_B,SNR_delta_comparison_B_minus_full,SFDR_full,SFDR_comparison_B,SFDR_delta_comparison_B_minus_full,Power_full,Power_comparison_B,Power_delta_comparison_B_minus_full,COMPOWER_full,COMPOWER_comparison_B,COMPOWER_delta_comparison_B_minus_full
tt,28n,11.583008,10.660390,-0.922618,71.500572,66.132116,-5.368456,83.662535,76.542433,-7.120102,368.780300,431.274361,62.494061,176.305500,228.695855,52.390355
ff,28n,11.475874,11.033313,-0.442561,71.599955,68.170408,-3.429547,80.347903,80.580836,0.232933,428.879800,448.222838,19.343038,223.619000,232.915705,9.296705
ss,28n,11.387845,10.349671,-1.038174,70.404747,64.030358,-6.374389,82.183781,76.668585,-5.515196,328.272700,439.695119,111.422419,144.692500,246.243129,101.550629
sf,28n,11.494812,10.617997,-0.876815,71.470106,65.764579,-5.705527,80.966832,77.500107,-3.466725,383.146400,446.397174,63.250774,190.168900,244.186379,54.017479
fs,28n,11.493543,10.742362,-0.751181,71.472814,66.773945,-4.698869,80.703135,78.278307,-2.424828,363.407100,433.533124,70.126024,169.215500,229.390052,60.174552
average,28n,11.487000,10.680747,-0.806253,71.289600,66.174281,-5.115319,81.572800,77.914054,-3.658746,374.497200,439.824523,65.327323,180.800300,236.286224,55.485924
