
time (s)       v("P" ?resultsDir "/home/meow/jxy/codex_sandbox/sar0716_calibration_20260717/switch_cdac_map/psf" ?result "tran") (V)
 1.01010e-07    9.01286e-01   
 1.01011e-07    9.00546e-01   
 1.01013e-07    9.00076e-01   
 1.01015e-07    9.00002e-01   
 1.01020e-07    8.99999e-01   
 1.01027e-07    9.00001e-01   
 1.01040e-07    8.99999e-01   
 1.01067e-07    9.00001e-01   
 1.01122e-07    8.99999e-01   
 1.01231e-07    9.00001e-01   
 1.01448e-07    8.99999e-01   
 1.01883e-07    9.00001e-01   
 1.02753e-07    8.99999e-01   
 1.03753e-07    9.00001e-01   
 1.04753e-07    8.99999e-01   
 1.05753e-07    9.00001e-01   
 1.06753e-07    8.99999e-01   
 1.07753e-07    9.00001e-01   
 1.08753e-07    8.99999e-01   
 1.09753e-07    9.00001e-01   
 1.10753e-07    8.99999e-01   
 1.11753e-07    9.00001e-01   
 1.12753e-07    8.99999e-01   
 1.13753e-07    9.00001e-01   
 1.14753e-07    8.99999e-01   
 1.15753e-07    9.00001e-01   
 1.16753e-07    8.99999e-01   
 1.17753e-07    9.00001e-01   
 1.18753e-07    8.99999e-01   
 1.19753e-07    9.00001e-01   
 1.20753e-07    8.99999e-01   
 1.21753e-07    9.00001e-01   
 1.22753e-07    8.99999e-01   
 1.23753e-07    9.00001e-01   
 1.24753e-07    8.99999e-01   
 1.25753e-07    9.00001e-01   
 1.26753e-07    8.99999e-01   
 1.27753e-07    9.00001e-01   
 1.28753e-07    8.99999e-01   
 1.29753e-07    9.00001e-01   
 1.30753e-07    8.99999e-01   
 1.31753e-07    9.00001e-01   
 1.32753e-07    8.99999e-01   
 1.33753e-07    9.00001e-01   
 1.34753e-07    8.99999e-01   
 1.35753e-07    9.00001e-01   
 1.36753e-07    8.99999e-01   
 1.37753e-07    9.00001e-01   
 1.38753e-07    8.99999e-01   
 1.39753e-07    9.00001e-01   
 1.40753e-07    8.99999e-01   
 1.41753e-07    9.00001e-01   
 1.42753e-07    8.99999e-01   
 1.43753e-07    9.00001e-01   
 1.44753e-07    8.99999e-01   
 1.45753e-07    9.00001e-01   
 1.46753e-07    8.99999e-01   
 1.47753e-07    9.00001e-01   
 1.48753e-07    8.99999e-01   
 1.49376e-07    9.00001e-01   
 1.50000e-07    8.99999e-01   
 1.50010e-07    9.00000e-01   
 1.50030e-07    9.00000e-01   
 1.50070e-07    9.00000e-01   
 1.50150e-07    9.00000e-01   
 1.50310e-07    9.00000e-01   
 1.50630e-07    9.00000e-01   
 1.51270e-07    9.00000e-01   
 1.52270e-07    9.00000e-01   
 1.53270e-07    9.00000e-01   
 1.54270e-07    9.00000e-01   
 1.55270e-07    9.00000e-01   
 1.56270e-07    9.00000e-01   
 1.57270e-07    9.00000e-01   
 1.58270e-07    9.00000e-01   
 1.59270e-07    9.00000e-01   
 1.60010e-07    9.00000e-01   
 1.60015e-07    9.00000e-01   
 1.60020e-07    9.00000e-01   
 1.60030e-07    9.00000e-01   
 1.60050e-07    9.00000e-01   
 1.60090e-07    9.00000e-01   
 1.60170e-07    9.00000e-01   
 1.60330e-07    9.00000e-01   
 1.60650e-07    9.00000e-01   
 1.61289e-07    9.00000e-01   
 1.62289e-07    9.00000e-01   
 1.63289e-07    9.00000e-01   
 1.64289e-07    9.00000e-01   
 1.65289e-07    9.00000e-01   
 1.66289e-07    9.00000e-01   
 1.67289e-07    9.00000e-01   
 1.68289e-07    9.00000e-01   
 1.69289e-07    9.00000e-01   
 1.70289e-07    9.00000e-01   
 1.71289e-07    9.00000e-01   
 1.72289e-07    9.00000e-01   
 1.73289e-07    9.00000e-01   
 1.74289e-07    9.00000e-01   
 1.75289e-07    9.00000e-01   
 1.76289e-07    9.00000e-01   
 1.77289e-07    9.00000e-01   
 1.78289e-07    9.00000e-01   
 1.79289e-07    9.00000e-01   
 1.80289e-07    9.00000e-01   
 1.81010e-07    9.00000e-01   
 1.81013e-07    9.00000e-01   
 1.81013e-07    9.00000e-01   
 1.81014e-07    9.00000e-01   
 1.81015e-07    8.99999e-01   
 1.81015e-07    8.99912e-01   
 1.81015e-07    8.99384e-01   
 1.81015e-07    8.95507e-01   
 1.81015e-07    8.85791e-01   
 1.81015e-07    8.47060e-01   
 1.81015e-07    8.10412e-01   
 1.81015e-07    7.82527e-01   
 1.81015e-07    7.74348e-01   
 1.81015e-07    7.70752e-01   
 1.81015e-07    7.71274e-01   
 1.81015e-07    7.75190e-01   
 1.81015e-07    7.82805e-01   
 1.81015e-07    7.93286e-01   
 1.81016e-07    8.05348e-01   
 1.81016e-07    8.18207e-01   
 1.81016e-07    8.31076e-01   
