bin,frequency_hz,magnitude_dbc
0,0.000000000000e+00,-6153.053111372
1,7.812500000000e+04,-93.386466017
2,1.562500000000e+05,-96.380765452
3,2.343750000000e+05,-91.645378867
4,3.125000000000e+05,-92.596142553
5,3.906250000000e+05,-103.296155926
6,4.687500000000e+05,-100.056469376
7,5.468750000000e+05,-91.896548880
8,6.250000000000e+05,-101.628120707
9,7.031250000000e+05,-102.472204031
10,7.812500000000e+05,-102.414888173
11,8.593750000000e+05,-89.528279909
12,9.375000000000e+05,-96.696190672
13,1.015625000000e+06,-91.301651690
14,1.093750000000e+06,-110.201105200
15,1.171875000000e+06,-87.446421620
16,1.250000000000e+06,-98.850562316
17,1.328125000000e+06,-86.127425253
18,1.406250000000e+06,-98.958447976
19,1.484375000000e+06,-89.417088666
20,1.562500000000e+06,-102.008439735
21,1.640625000000e+06,-95.913451037
22,1.718750000000e+06,-92.893480643
23,1.796875000000e+06,-92.307720088
24,1.875000000000e+06,-92.265806413
25,1.953125000000e+06,-87.973520563
26,2.031250000000e+06,-93.022216140
27,2.109375000000e+06,-92.985448958
28,2.187500000000e+06,-91.121037127
29,2.265625000000e+06,-89.902032926
30,2.343750000000e+06,-101.125026835
31,2.421875000000e+06,-100.421055830
32,2.500000000000e+06,-95.840262359
33,2.578125000000e+06,-90.506052983
34,2.656250000000e+06,-102.330185234
35,2.734375000000e+06,-93.406138870
36,2.812500000000e+06,-104.854250998
37,2.890625000000e+06,-85.828316580
38,2.968750000000e+06,-97.485215287
39,3.046875000000e+06,-92.023312696
40,3.125000000000e+06,-99.508873045
41,3.203125000000e+06,-86.923234983
42,3.281250000000e+06,-102.483046861
43,3.359375000000e+06,-88.290774497
44,3.437500000000e+06,-104.789720075
45,3.515625000000e+06,-93.625923849
46,3.593750000000e+06,-93.786384161
47,3.671875000000e+06,-90.427220019
48,3.750000000000e+06,-98.850562316
49,3.828125000000e+06,-83.710822219
50,3.906250000000e+06,-90.136336325
51,3.984375000000e+06,-87.620348188
52,4.062500000000e+06,-94.392491766
53,4.140625000000e+06,-86.873615319
54,4.218750000000e+06,-92.115348145
55,4.296875000000e+06,-91.441408610
56,4.375000000000e+06,-95.715559799
57,4.453125000000e+06,-96.422271693
58,4.531250000000e+06,-101.728140170
59,4.609375000000e+06,0.000000000
60,4.687500000000e+06,-102.540307999
61,4.765625000000e+06,-99.589194130
62,4.843750000000e+06,-97.097108091
63,4.921875000000e+06,-96.008536013
64,5.000000000000e+06,-6153.053111372
