sample,tone_bin,method,physical_hash,evaluation_seed,sndr_db,enob,sfdr_db,thd_db,time_domain_sndr_db,fft_time_sndr_delta_db,clip_count,pass_enob_strict
0,127,current_nominal_12b,C17CBFC7FED9642C99050A69697A1A438930E66ADAD5162269DB0440D282DF74,2026084521,59.41498789849501,9.57724051470017,66.88645803052867,-63.507447292327825,59.414987898907505,-4.1249137439081096e-10,0,0
0,127,current_cal32_12b,C17CBFC7FED9642C99050A69697A1A438930E66ADAD5162269DB0440D282DF74,2026084521,69.26250147566635,11.213040112236936,82.653411102565,-84.02096317489165,69.26250148064524,-4.978886636308744e-09,0,0
0,127,current_cal128_12b,C17CBFC7FED9642C99050A69697A1A438930E66ADAD5162269DB0440D282DF74,2026084521,69.70589722886268,11.286693891837654,83.69989528207259,-85.0327229358824,69.70589723568563,-6.8229439875722164e-09,0,0
0,127,current_cal128_q2,C17CBFC7FED9642C99050A69697A1A438930E66ADAD5162269DB0440D282DF74,2026084521,71.73262240432149,11.623359203375662,93.05229691403802,-90.35868543479033,71.73262240259665,1.7248424910576432e-09,0,1
0,127,sublsb3_nominal_12b,C17CBFC7FED9642C99050A69697A1A438930E66ADAD5162269DB0440D282DF74,2026084521,59.40593091898567,9.575736033054099,66.89067994673702,-63.51970034503641,59.40593091913084,-1.4517098634314607e-10,0,0
0,127,sublsb3_cal128_12b,C17CBFC7FED9642C99050A69697A1A438930E66ADAD5162269DB0440D282DF74,2026084521,71.94787330232484,11.659115166499141,95.56036280624076,-98.27138973642269,71.94787331413781,-1.1812971933977678e-08,0,1
0,127,fractional_cancel_cal128_12b,C17CBFC7FED9642C99050A69697A1A438930E66ADAD5162269DB0440D282DF74,2026084521,71.9485697872879,11.65923086167573,97.70761665644402,-95.81334728623425,71.9485697874046,-1.1669953892123885e-10,0,1
0,3641,current_nominal_12b,C17CBFC7FED9642C99050A69697A1A438930E66ADAD5162269DB0440D282DF74,2026425379,59.36530313642221,9.568987231963824,66.79790072078205,-63.44985777215636,59.365303138218636,-1.7964225662581157e-09,0,0
0,3641,current_cal32_12b,C17CBFC7FED9642C99050A69697A1A438930E66ADAD5162269DB0440D282DF74,2026425379,69.32558808117831,11.223519614813673,83.02526981720203,-83.18468446485682,69.32558808333185,-2.153541345251142e-09,0,0
0,3641,current_cal128_12b,C17CBFC7FED9642C99050A69697A1A438930E66ADAD5162269DB0440D282DF74,2026425379,69.65441984587714,11.278142831541054,83.32591388615789,-85.641003181551,69.65441985531469,-9.437542303203372e-09,0,0
0,3641,current_cal128_q2,C17CBFC7FED9642C99050A69697A1A438930E66ADAD5162269DB0440D282DF74,2026425379,71.75413280170152,11.62693235908663,95.83018198460087,-91.51038445745135,71.7541327969258,4.7757140464455006e-09,0,1
0,3641,sublsb3_nominal_12b,C17CBFC7FED9642C99050A69697A1A438930E66ADAD5162269DB0440D282DF74,2026425379,59.368246090929375,9.569476094838768,66.74847819326969,-63.44736268735724,59.368246091445684,-5.163087735127192e-10,0,0
0,3641,sublsb3_cal128_12b,C17CBFC7FED9642C99050A69697A1A438930E66ADAD5162269DB0440D282DF74,2026425379,71.88163131385242,11.648111513928974,95.70716377805611,-95.5006538013395,71.88163130979797,4.054456326230138e-09,0,1
