method,records,passes,failures,yield,yield_lcb95,enob_min,enob_p01,enob_p05,enob_median,enob_mean,enob_max,max_abs_fft_time_sndr_delta_db,total_clip_count
current_cal128_12b,4000,19,3981,0.00475,0.0,11.063394376361774,11.15261389217833,11.191566306165647,11.24672253959644,11.251367499977421,11.556460616147989,2.5994765451287094e-08,0
current_cal128_q2,4000,4000,0,1.0,0.9992513473119822,11.52132378535185,11.561064987639309,11.579506310919047,11.613719467187838,11.612208166236705,11.666969652085024,3.5294974054522754e-08,0
current_cal32_12b,4000,9,3991,0.00225,0.0,10.890557489128716,11.077064691458824,11.130268029534754,11.218780107965175,11.21830898515548,11.532752275257758,2.187448444601614e-08,0
current_nominal_12b,4000,0,4000,0.0,0.0,8.25087476578832,8.76263406004848,9.009587896518195,9.847179882497493,9.85565553106103,11.494765222836644,1.1512355513332295e-08,0
fractional_cancel_cal128_12b,4000,4000,0,1.0,0.9992513473119822,11.586514805505203,11.609977302272059,11.624861025249372,11.654562373988774,11.653863504522858,11.696375021678938,3.920321489658818e-08,0
sublsb3_cal128_12b,4000,4000,0,1.0,0.9992513473119822,11.55971424445249,11.58929220643719,11.61004741484035,11.642867173138633,11.64091092977024,11.68740194214346,4.271292652902048e-08,0
sublsb3_nominal_12b,4000,1,3999,0.00025,0.0,8.249821796467078,8.76293693722714,9.009493045396153,9.84464292369893,9.855392710440947,11.506563197142372,1.3446808111439168e-08,0
