sample,ideal_code,q2_code,endpoint_fit_error_lsb
1667,0.0078105926513671875,0.0,0.5275861568343706
1667,0.2577495574951172,0.0,0.27764951551177613
1667,0.5076885223388672,0.0,0.02771287418918167
1667,0.7576274871826172,0.0,-0.22222376713341274
1667,1.0075664520263672,0.0,-0.4721604084560074
1667,1.2575054168701172,1.0,0.2779029502213983
1667,1.5074443817138672,1.0,0.027966308898803804
1667,1.7573833465576172,1.0,-0.22197033242379072
1667,2.007322311401367,1.0,-0.471906973746385
1667,2.257261276245117,2.0,0.27815638493102046
1667,2.507200241088867,2.0,0.02821974360842594
1667,2.757139205932617,2.0,-0.22171689771416858
1667,3.007078170776367,2.0,-0.4716535390367631
1667,3.257017135620117,3.0,0.2784098196406424
1667,3.506956100463867,3.0,0.028473178318047854
1667,3.756895065307617,3.0,-0.22146346300454622
1667,4.006834030151367,3.0,-0.47140010432714075
1667,4.256772994995117,4.0,0.2786632543502643
1667,4.506711959838867,4.0,0.02872661302767021
1667,4.756650924682617,4.0,-0.22121002829492475
1667,5.006589889526367,4.0,-0.47114666961751883
1667,5.256528854370117,5.0,0.2789166890598871
1667,5.506467819213867,5.0,0.028980047737292125
1667,5.756406784057617,5.0,-0.22095659358530195
1667,6.006345748901367,5.0,-0.4708932349078969
1667,6.256284713745117,6.0,0.279170123769509
1667,6.506223678588867,6.0,0.02923348244691404
1667,6.756162643432617,6.0,-0.22070315887568004
1667,7.006101608276367,6.0,-0.470639800198275
1667,7.256040573120117,7.0,0.2794235584791309
1667,7.505979537963867,7.0,0.02948691715653684
1667,7.755918502807617,7.0,-0.22044972416605813
1667,8.005857467651367,7.0,-0.4703863654886531
1667,8.255796432495117,8.0,0.2796769931887537
1667,8.505735397338867,8.0,0.029740351866158754
1667,8.755674362182617,8.0,-0.22019628945643532
1667,9.005613327026367,8.0,-0.4701329307790303
1667,9.255552291870117,9.0,0.27993042789837475
1667,9.505491256713867,9.0,0.02999378657577978
1667,9.755430221557617,9.0,-0.2199428547468152
1667,10.005369186401367,9.0,-0.4698794960694066
1667,10.255308151245117,10.0,0.28018386260799844
1667,10.505247116088867,10.0,0.03024722128540347
1667,10.755186080932617,10.0,-0.2196894200371915
1667,11.005125045776367,10.0,-0.46962606135978646
1667,11.255064010620117,11.0,0.2804372973176186
1667,11.505002975463867,11.0,0.030500655995023607
1667,11.754941940307617,11.0,-0.2194359853275678
1667,12.004880905151367,11.0,-0.46937262665016277
1667,12.254819869995117,12.0,0.28069073202724226
1667,12.504758834838867,12.0,0.030754090704647297
1667,12.754697799682617,12.0,-0.21918255061794767
1667,13.004636764526367,12.0,-0.46911919194054263
1667,13.254575729370117,13.0,0.2809441667368624
1667,13.504514694213867,13.0,0.031007525414267434
1667,13.754453659057617,13.0,-0.21892911590832398
1667,14.004392623901367,13.0,-0.46886575723091894
1667,14.254331588745117,14.0,0.2811976014464861
1667,14.504270553588867,14.0,0.031260960123891124
